,estado,abstencao
2,AM,61.27303949627934
20,RO,58.2534268614454
8,GO,49.93591349057855
5,CE,49.46486738017683
21,RR,49.17156600748263
26,TO,49.07175773535221
23,SC,45.568778180205484
25,SP,43.51585614001506
11,MS,43.39527875439478
12,MT,43.05922048708742
15,PE,42.23323669690452
3,AP,40.894660894660895
17,PR,40.1350513332874
9,MA,39.128214238131186
18,RJ,38.45943874604991
10,MG,38.30942287580134
22,RS,38.262636000550884
1,AL,38.177685350872956
13,PA,37.622665400443175
24,SE,37.113124123800276
7,ES,36.756403855754826
0,AC,36.37593984962406
4,BA,33.65711669283098
14,PB,33.01157701977095
16,PI,32.87713245160054
6,DF,31.39861927895679
19,RN,31.054131054131055
