,Nome_Município,abstencao
222,Boca do Acre,100.0
364,Careiro,88.37719298245614
143,Autazes,86.71875
924,Maraã,86.29032258064517
1596,Tonantins,84.65608465608466
428,Codajás,84.42906574394463
239,Borba,83.16831683168317
1145,Pauini,83.07692307692308
1621,Uarini,81.61764705882352
905,Manaquiri,81.48148148148148
530,Envira,80.55555555555556
912,Manicoré,77.9783393501805
1056,Novo Airão,77.55905511811024
837,Jutaí,77.37226277372264
795,Japurá,77.21518987341773
211,Beruri,77.19298245614034
1572,Tefé,77.08333333333334
1025,Nhamundá,76.30522088353415
268,Caapiranga,75.73529411764706
39,Alto Paraíso,75.42372881355932
365,Careiro da Várzea,75.14124293785311
1046,Nova Olinda do Norte,75.0733137829912
220,Boa Vista do Ramos,74.65277777777779
1648,Urucurituba,74.32432432432432
568,Fonte Boa,74.27184466019418
360,Carauari,73.23420074349443
9,Acreúna,72.64150943396226
904,Manacapuru,72.47191011235955
355,Caracaraí,72.22222222222221
164,Barcelos,72.02380952380952
1391,Santo Antônio do Içá,71.9047619047619
896,Madalena,71.11801242236024
539,Espigão D'Oeste,70.98445595854922
250,Brejinho de Nazaré,70.83333333333334
180,Barreirinha,70.8185053380783
1647,Urucará,70.65868263473054
520,Eldorado,70.52631578947368
43,Alvarães,70.24793388429752
63,Anamã,70.0
1311,Rio Preto da Eva,69.95515695067265
1707,Água Preta,69.62025316455697
207,Benjamin Constant,69.33962264150944
534,Escada,69.21397379912663
603,Goiás,68.77828054298642
695,Irauçuba,68.65671641791045
123,Aripuanã,68.53932584269663
801,Jaru,68.51119894598156
1057,Novo Aripuanã,68.42105263157895
574,Forquilha,68.08510638297872
1677,Vilhena,67.9022746419545
1180,Pimenta Bueno,67.77251184834124
551,Eusébio,67.62452107279694
1354,Santa Isabel do Rio Negro,67.56756756756756
949,Maués,67.48878923766816
1425,Silves,67.45098039215686
1036,Nova Brasilândia D'Oeste,67.44186046511628
961,Mineiros,66.7610953729934
708,Itacoatiara,66.68839634941331
1351,Santa Helena de Goiás,66.31892697466468
178,Barreira,66.13924050632912
601,Goiatuba,65.65217391304347
1156,Pedro Afonso,65.37467700258398
1128,Parintins,65.11169513797634
283,Cacoal,65.03496503496503
1256,Presidente Figueiredo,64.76964769647697
1464,São Francisco do Guaporé,64.65517241379311
235,Bonito,64.52599388379205
287,Caetés,64.48087431693989
1314,Rio Verde,64.48040885860307
409,Cerejeiras,64.4
1378,Santana do Araguaia,64.39393939393939
1531,São Paulo de Olivença,64.35643564356435
1526,São Miguel do Guaporé,64.31924882629107
1574,Tejuçuoca,64.11149825783971
1580,Terra Nova do Norte,64.04494382022472
51,Amapá,63.934426229508205
1108,Panelas,63.92785571142284
426,Coari,63.83720930232558
1705,Água Clara,63.74999999999999
1017,Natividade,63.63636363636363
1706,Água Doce do Norte,63.63636363636363
691,Iranduba,63.63636363636363
397,Catende,63.58695652173913
30,Almeirim,63.565891472868216
245,Brasnorte,63.51351351351351
1468,São Félix do Xingu,63.42592592592593
1208,Planaltina,63.39210747271201
620,Guarantã do Norte,63.1578947368421
717,Itamarati,63.1578947368421
606,Governador Nunes Freire,63.125
997,Montes Altos,62.857142857142854
1063,Novo Progresso,62.5
739,Itaporanga d'Ajuda,62.365591397849464
157,Banabuiú,62.34309623430963
1303,Rio Formoso,62.13592233009708
894,Machadinho D'Oeste,62.00873362445415
1276,Quixadá,61.89848384970337
1694,Wanderlândia,61.875
1024,Neópolis,61.568627450980394
636,Horizonte,61.38132295719845
1161,Peixoto de Azevedo,61.34020618556701
983,Monsenhor Tabosa,61.20906801007556
10,Adamantina,61.16207951070336
372,Carlinda,61.038961038961034
962,Miracatu,61.029411764705884
1515,São Luís de Montes Belos,60.96938775510205
1221,Porangatu,60.88328075709779
698,Itabaianinha,60.8286252354049
1083,Ouricuri,60.7095926412615
639,Humaitá,60.665362035225044
1349,Santa Fé do Sul,60.64981949458483
519,Eirunepé,60.629921259842526
131,Assaré,60.582822085889575
686,Ipojuca,60.535117056856194
920,Maranguape,60.51587301587301
1294,Ribeirão,60.43956043956044
81,Apuí,60.396039603960396
1432,Socorro,60.30534351145038
13,Afrânio,60.18518518518518
809,Ji-Paraná,60.14134275618375
1462,São Francisco de Itabapoana,60.1010101010101
1708,Águas Belas,60.03086419753087
504,Dianópolis,60.0
1470,São Gabriel da Cachoeira,59.92063492063492
1686,Viçosa do Ceará,59.83772819472617
1114,Paraipaba,59.71370143149284
61,Anajatuba,59.70149253731343
723,Itapaci,59.61538461538461
90,Araguanã,59.61538461538461
706,Itacajá,59.60591133004927
231,Bom Jesus de Goiás,59.49820788530465
128,Arroio do Meio,59.34065934065934
727,Itapecuru Mirim,59.15750915750916
701,Itaberaí,59.0778097982709
1549,Tabatinga,59.04255319148937
138,Augustinópolis,59.023354564755834
113,Araçoiaba,58.854166666666664
1092,Pacatuba,58.68167202572347
992,Monte Negro,58.55855855855856
1051,Nova Serrana,58.523725834797894
1330,Rurópolis,58.490566037735846
1094,Padre Bernardo,58.48214285714286
400,Caucaia,58.392434988179666
980,Mombaça,58.34564254062038
496,Cândido Mota,58.108108108108105
26,Alexânia,58.08580858085809
1201,Pirenópolis,58.032128514056225
1524,São Miguel do Araguaia,57.86407766990291
830,Jucás,57.791225416036305
1586,Tijucas,57.738095238095234
600,Goianésia do Pará,57.72357723577236
56,Amontada,57.72151898734177
645,Ibimirim,57.70750988142292
303,Cambuí,57.67326732673267
469,Costa Rica,57.608695652173914
733,Itapeva,57.5177304964539
849,Lagoa de Itaenga,57.460317460317455
1538,São Sebastião,57.410881801125704
75,Aparecida,57.388316151202744
685,Ipixuna,57.35294117647059
618,Guaraciaba do Norte,57.31056563500534
1001,Morrinhos,57.304785894206546
295,Caldas Novas,57.299578059071735
476,Cristalândia,57.291666666666664
437,Colorado do Oeste,57.14285714285714
260,Brusque,57.009345794392516
690,Iracema,57.00483091787439
1434,Solonópole,56.9620253164557
336,Canela,56.95876288659794
1243,Posse,56.80087051142546
46,Alvorada D'Oeste,56.78391959798995
598,Goianira,56.77506775067751
330,Campos do Jordão,56.74157303370787
1557,Tamboril,56.699029126213595
1602,Trindade,56.65545410860163
1292,Ribas do Rio Pardo,56.557377049180324
77,Aparecida do Taboado,56.4625850340136
1618,Turiaçu,56.42857142857143
1018,Navegantes,56.38841567291312
83,Aquiraz,56.379100850546784
124,Ariquemes,56.323060573857596
1191,Piracanjuba,56.25
648,Ibitinga,56.15384615384615
11,Afogados da Ingazeira,56.10972568578554
1066,Ocara,55.98802395209581
326,Campos Belos,55.98290598290598
411,Cerqueira César,55.8974358974359
1554,Tailândia,55.88235294117647
1115,Parambu,55.78703703703704
449,Confresa,55.74229691876751
710,Itaitinga,55.74074074074075
634,Gurupi,55.72782084409992
757,Itumbiara,55.72562358276644
1234,Porto Grande,55.68181818181818
1023,Nerópolis,55.66218809980806
1548,Sítio Novo do Tocantins,55.55555555555556
492,Curuçá,55.52631578947368
1467,São Félix do Araguaia,55.38461538461539
345,Canutama,55.35714285714286
306,Camocim,55.28942115768463
1257,Presidente Médici,55.28846153846154
745,Itaquiraí,55.26315789473685
1426,Silvânia,55.25812619502868
916,Maracanaú,55.256637168141594
433,Colinas do Tocantins,55.223880597014926
477,Cruz,55.182072829131656
845,Lagoa Grande,55.15695067264574
1090,Pacajus,55.120732722731056
884,Lábrea,55.118110236220474
380,Carolina,55.1094890510949
35,Alta Floresta D'Oeste,55.10204081632652
968,Mirante da Serra,54.93827160493827
78,Apiaí,54.89510489510489
1184,Pindoretama,54.83870967741935
911,Manhumirim,54.82233502538071
1307,Rio Negrinho,54.75113122171946
712,Itajaí,54.629021667761
1599,Traipu,54.60526315789473
625,Guaratuba,54.589371980676326
906,Manaus,54.503213815534735
1331,Russas,54.50061652281134
939,Massapê,54.50000000000001
1289,Riachuelo,54.49438202247191
1300,Rio Branco do Sul,54.4891640866873
252,Brejo Santo,54.44664031620553
162,Barbalha,54.41354292623942
1644,Uruará,54.40414507772021
749,Itatira,54.3661971830986
1098,Palmares,54.35952637244349
554,Exu,54.292929292929294
573,Formoso do Araguaia,54.22885572139303
1634,Umbaúba,54.22885572139303
371,Cariré,54.15549597855228
379,Carnaíba,54.15472779369628
1231,Porto Feliz,54.151624548736464
1589,Timbó,54.1025641025641
416,Chapadão do Sul,54.02985074626866
1163,Penalva,54.01459854014598
254,Brejões,54.0
1550,Tabira,53.9553752535497
100,Araputanga,53.95348837209303
750,Itaí,53.813559322033896
599,Goianésia,53.792502179598955
103,Araras,53.57624831309041
1710,Águas Lindas de Goiás,53.53393981805459
210,Bertioga,53.52564102564102
1273,Quirinópolis,53.50223546944859
275,Cabrobó,53.4923339011925
965,Miranda,53.44827586206896
1485,São José da Tapera,53.441295546558706
1695,Wenceslau Braz,53.40599455040872
555,Farias Brito,53.40501792114696
1544,São Vicente,53.393351800554015
1570,Tauá,53.38114754098361
434,Colniza,53.333333333333336
580,Francisco Morato,53.32225913621262
457,Coreaú,53.2608695652174
95,Arame,53.23741007194245
38,Alto Alegre,53.2258064516129
1271,Querência,53.20197044334976
1350,Santa Helena,53.16455696202531
216,Blumenau,53.14190595089472
1091,Pacajá,53.125
4,Acaraú,53.10945273631841
117,Arcoverde,53.10899780541332
144,Avaré,53.08464849354376
176,Barra do Turvo,53.06122448979592
766,Ivinhema,52.99401197604791
1268,Quedas do Iguaçu,52.9126213592233
627,Guarujá,52.8865295288653
383,Carutapera,52.88135593220339
475,Cristalina,52.87356321839081
1553,Taguatinga,52.820512820512825
950,Mazagão,52.77777777777778
901,Malacacheta,52.760736196319016
1577,Teotônio Vilela,52.75590551181102
877,Louveira,52.75590551181102
270,Caarapó,52.752293577981646
784,Jaguariúna,52.733686067019406
248,Braço do Norte,52.58620689655172
384,Casa Branca,52.54901960784314
738,Itaporanga,52.50379362670713
1696,Xambioá,52.5
193,Baturité,52.42494226327945
1133,Parobé,52.41379310344828
196,Bebedouro,52.338811630847026
565,Floresta do Araguaia,52.336448598130836
1277,Quixeramobim,52.3225241016652
1380,Santana do Ipanema,52.30061349693251
1126,Paraíso do Tocantins,52.26519337016574
560,Feliz Natal,52.23880597014925
976,Mogi Guaçu,52.207505518763796
105,Araripe,52.20264317180616
1601,Tramandaí,52.18579234972678
843,Lages,52.18068535825545
612,Guajará-Mirim,52.16637781629117
1160,Peixe,52.12765957446809
32,Almirante Tamandaré,52.09424083769634
199,Bela Vista,52.083333333333336
1679,Virginópolis,52.071005917159766
1252,Praia Grande,52.069494123658664
552,Extrema,52.054794520547944
370,Caririaçu,52.03045685279187
588,Gararu,52.0
28,Alhandra,51.955307262569825
798,Jardim,51.93434935521688
1480,São Joaquim,51.87500000000001
1379,Santana do Cariri,51.86915887850467
1500,São João da Baliza,51.85185185185185
1182,Pindaré-Mirim,51.81818181818182
352,Capão Bonito,51.81818181818182
787,Jaguaré,51.798561151079134
781,Jaguaretama,51.724137931034484
768,Içara,51.724137931034484
763,Itápolis,51.71102661596958
796,Jaraguá,51.70454545454546
1447,São Bento,51.68539325842697
1703,Água Boa,51.66666666666667
764,Ivaiporã,51.651651651651655
1620,Tutóia,51.64179104477612
788,Jales,51.61290322580645
218,Boa Viagem,51.590594744121724
730,Itaperuna,51.58878504672897
1179,Pilão Arcado,51.578947368421055
1239,Porto Velho,51.53061224489795
898,Magé,51.515151515151516
182,Barreiros,51.461988304093566
836,Jussara,51.45631067961165
570,Formosa,51.430387794024156
97,Arapoema,51.42857142857142
742,Itapuranga,51.42857142857142
292,Cajati,51.38121546961326
404,Caçador,51.36363636363637
1062,Novo Oriente,51.338199513382
1104,Palmeirópolis,51.31578947368421
746,Itararé,51.302605210420836
1334,Salgueiro,51.19161105815062
1230,Porto Esperidião,51.19047619047619
641,Ibaiti,51.187335092348285
776,Jacinto,51.181102362204726
234,Bonfim,51.162790697674424
353,Capão da Canoa,51.1002444987775
531,Epitaciolândia,51.06382978723404
47,Alvorada do Norte,51.06382978723404
137,Atibaia,51.062215477996965
480,Cruzeiro,51.02040816326531
87,Aracoiaba,51.00222717149221
213,Bezerros,50.99866844207723
1624,Ubajara,50.990990990990994
945,Matão,50.977653631284916
871,Lins,50.970873786407765
197,Beberibe,50.967741935483865
1625,Ubatuba,50.898203592814376
1088,Ouro Preto do Oeste,50.847457627118644
1366,Santa Rita do Sapucaí,50.83333333333333
1198,Piraquara,50.82742316784869
139,Augusto Corrêa,50.79365079365079
1285,Remanso,50.75987841945289
1216,Ponta Porã,50.7227332457293
85,Aracati,50.67466266866567
1075,Oriximiná,50.66666666666667
482,Cubatão,50.638297872340424
608,Grajaú,50.625
666,Ilhabela,50.617283950617285
112,Araçatuba,50.577053632043445
1242,Porto de Moz,50.53191489361703
1319,Rio do Sul,50.487329434697855
225,Boituva,50.467289719626166
1563,Taquara,50.456621004566216
1076,Orleans,50.427350427350426
1449,São Bento do Una,50.40431266846361
1171,Petrolândia,50.39370078740157
640,Humberto de Campos,50.349650349650354
1324,Rorainópolis,50.326797385620914
1059,Novo Gama,50.32154340836013
1650,Uruoca,50.314465408805034
1173,Piancó,50.30487804878049
747,Itarema,50.208623087621696
881,Luziânia,50.20188425302826
591,Garça,50.15673981191222
1045,Nova Olinda,50.12468827930174
1284,Registro,50.12406947890818
1645,Uruaçu,50.112612612612615
711,Itaituba,50.070921985815595
596,Goiana,50.0
562,Fernandópolis,50.0
954,Miguel Alves,50.0
561,Fernando de Noronha,50.0
543,Espírito Santo do Pinhal,50.0
1187,Pinheiros,50.0
65,Ananás,50.0
136,Atalaia,50.0
1370,Santa Rosa do Purus,50.0
1166,Penápolis,50.0
255,Breu Branco,50.0
1086,Ouro Fino,49.82078853046595
1568,Tatuí,49.80988593155893
1552,Tabuleiro do Norte,49.794238683127574
1415,Serra Talhada,49.78540772532189
1229,Porto Calvo,49.75369458128079
1709,Águas Formosas,49.735449735449734
244,Brasiléia,49.72677595628415
1320,Rolim de Moura,49.7093023255814
516,Dracena,49.70326409495549
557,Fazenda Rio Grande,49.69230769230769
1439,Sorriso,49.67405475880052
410,Ceres,49.643221202854235
1069,Oiapoque,49.64028776978417
439,Comodoro,49.63503649635037
