estado,PIB,abstencao
Pará,20734.6,37.622665400443175
Tocantins,25021.8,49.07175773535221
Maranhão,13757.94,39.128214238131186
Piauí,16125.0,32.87713245160054
Paraíba,16919.84,33.01157701977095
Alagoas,17667.79,38.177685350872956
Acre,17722.41,36.37593984962406
Ceará,17912.17,49.46486738017683
Sergipe,19441.23,37.113124123800276
Bahia,19716.21,33.65711669283098
Rio Grande do Norte,20342.11,31.054131054131055
Amapá,20688.21,40.894660894660895
Pernambuco,20702.3,42.23323669690452
Roraima,23593.84,49.17156600748263
Amazonas,26101.72,61.27303949627934
Rondônia,26497.12,58.2534268614454
Goiás,29732.4,49.93591349057855
Minas Gerais,30794.04,38.30942287580134
Mato Grosso,40787.32,43.05922048708742
Paraná,40788.77,40.1350513332874
Rio Grande do Sul,42406.09,38.262636000550884
Santa Catarina,45118.41,45.568778180205484
Rio de Janeiro,45174.08,38.45943874604991
São Paulo,51140.82,43.51585614001506
Distrito Federal,90742.75,31.39861927895679
Espírito Santo,34177.05,36.756403855754826
Mato Grosso do Sul,38482.83,43.39527875439478
