Nome_Município,abstencao,PIB per capita
Abaetetuba,31.782945736434108,9480.05
Abaeté,37.59398496240601,22262.55
Abreu e Lima,43.22766570605187,17756.99
Acarape,36.0,9544.34
Acaraú,53.10945273631841,11329.55
Acari,22.857142857142858,11739.54
Acará,42.2360248447205,13625.95
Acopiara,46.285714285714285,8527.43
Acrelândia,49.34210526315789,16623.6
Acreúna,72.64150943396226,29728.12
Adamantina,61.16207951070336,32400.51
Afogados da Ingazeira,56.10972568578554,12464.16
Afonso Cláudio,29.03225806451613,14487.2
Afrânio,60.18518518518518,8663.84
Agrestina,47.05882352941176,11341.74
Agudos,46.07843137254902,61650.21
Aimorés,42.66666666666667,18339.14
Alagoa Grande,32.960893854748605,9699.38
Alagoa Nova,31.9047619047619,15631.55
Alagoinha,40.44943820224719,7934.57
Alagoinha,40.44943820224719,9579.05
Alagoinhas,31.5929203539823,28109.5
Alcântara,36.734693877551024,5690.89
Alegre,34.285714285714285,15854.35
Alegrete,33.0078125,29053.31
Alenquer,44.20289855072464,10064.02
Alexandria,31.351351351351354,10712.92
Alexânia,58.08580858085809,34289.85
Alfenas,38.21989528795812,32281.39
Alhandra,51.955307262569825,96064.51
Aliança,37.24137931034483,8626.09
Almeirim,63.565891472868216,15974.52
Almenara,40.655105973025044,14543.15
Almirante Tamandaré,52.09424083769634,13747.91
Alpinópolis,30.254777070063692,20469.86
Alta Floresta,48.9051094890511,30101.46
Alta Floresta D'Oeste,55.10204081632652,21600.73
Altamira,37.97150041911148,24250.13
Altinho,42.028985507246375,7690.34
Alto Alegre,53.2258064516129,20335.17
Alto Alegre,53.2258064516129,29423.18
Alto Alegre,53.2258064516129,37798.82
Alto Paraíso,75.42372881355932,16728.75
Alto Paraíso,75.42372881355932,33237.18
Alto Santo,49.029126213592235,10677.98
Alto do Rodrigues,31.92488262910798,33606.28
Altos,33.76146788990826,11243.64
Alvarães,70.24793388429752,12221.58
Alvinópolis,36.84210526315789,18953.83
Alvorada,46.928746928746925,39825.35
Alvorada,46.928746928746925,13520.93
Alvorada D'Oeste,56.78391959798995,18065.91
Alvorada do Norte,51.06382978723404,16039.39
Alvorada do Sul,36.17021276595745,21856.82
Além Paraíba,44.857142857142854,23324.44
Amambai,43.83561643835616,24687.68
Amapá,63.934426229508205,17181.22
Amarante,42.38095238095238,8861.46
Amarante do Maranhão,41.089108910891085,7408.64
Amargosa,23.48993288590604,10559.06
Americana,42.72790535838553,49876.81
Amontada,57.72151898734177,11911.02
Amparo,46.1839530332681,11708.73
Amparo,46.1839530332681,58791.02
Ampére,39.74895397489539,31119.18
Amélia Rodrigues,18.404907975460123,13191.02
Anagé,48.44444444444444,8428.08
Anajatuba,59.70149253731343,6390.9
Anajás,45.94594594594595,7326.86
Anamã,70.0,8948.45
Ananindeua,34.00261894369271,15389.79
Ananás,50.0,15545.97
Anastácio,41.566265060240966,19920.79
Anchieta,36.8995633187773,34359.12
Anchieta,36.8995633187773,25485.69
Andradas,44.680851063829785,24442.94
Andradina,44.76386036960985,35989.67
Andrelândia,36.84210526315789,19071.66
Angicos,32.02416918429003,12469.25
Angra dos Reis,47.73869346733669,48212.88
Anori,37.735849056603776,9497.56
Anápolis,48.81764438381082,38091.05
Aparecida,57.388316151202744,10235.09
Aparecida,57.388316151202744,31641.35
Aparecida de Goiânia,44.232698094282846,24855.27
Aparecida do Taboado,56.4625850340136,45011.95
Apiaí,54.89510489510489,24660.33
Apodi,33.7995337995338,14347.04
Apucarana,39.733333333333334,25602.65
Apuí,60.396039603960396,10337.08
Aquidauana,39.140811455847256,20066.24
Aquiraz,56.379100850546784,32792.37
Aracaju,27.8921568627451,26688.23
Aracati,50.67466266866567,18818.74
Araci,36.5296803652968,8005.65
Aracoiaba,51.00222717149221,8688.06
Aracruz,36.473429951690825,53513.72
Aragarças,45.91836734693878,11742.17
Araguanã,59.61538461538461,12183.89
Araguanã,59.61538461538461,5162.19
Araguari,42.83783783783784,47199.52
Araguatins,47.486033519553075,12484.23
Araguaína,47.75545104745618,26101.59
Araioses,48.64864864864865,5818.86
Arame,53.23741007194245,7236.34
Arapiraca,31.12128146453089,21468.19
Arapoema,51.42857142857142,26957.92
Arapongas,40.7979407979408,40422.28
Arapoti,37.67123287671233,43752.73
Araputanga,53.95348837209303,28084.76
Araranguá,40.82503556187766,28453.67
Araraquara,42.05193160227992,42474.25
Araras,53.57624831309041,44204.85
Arari,38.71733966745843,8464.56
Araripe,52.20264317180616,7875.07
Araripina,47.73828756058158,12416.62
Araruama,43.026315789473685,27785.33
Araruna,31.63265306122449,8514.8
Araruna,31.63265306122449,33735.86
Aratuba,46.666666666666664,10593.58
Araucária,45.2513966480447,130033.87
Araxá,43.90243902439025,60640.64
Araçatuba,50.577053632043445,39630.87
Araçoiaba,58.854166666666664,7289.28
Araçoiaba da Serra,43.529411764705884,24299.7
Araçuaí,42.786885245901644,12588.17
Arcos,42.066420664206646,42159.13
Arcoverde,53.10899780541332,14727.75
Areado,43.529411764705884,14927.38
Areia,18.994413407821227,10037.35
Areia Branca,35.50488599348534,26529.59
Areia Branca,35.50488599348534,11918.21
Arenápolis,39.85507246376812,18448.65
Arinos,43.58108108108108,13067.34
Aripuanã,68.53932584269663,42001.25
Ariquemes,56.323060573857596,23908.38
Aroeiras,45.98930481283423,7633.56
Arraias,49.06542056074766,19777.41
Arroio Grande,33.89830508474576,29657.67
Arroio do Meio,59.34065934065934,60183.67
Artur Nogueira,46.31901840490797,23354.82
Arujá,40.49707602339181,72172.65
Assaré,60.582822085889575,8396.48
Assaí,40.839694656488554,29088.35
Assis,48.383620689655174,33929.37
