municipio,PIB,IDHM,densidade,diferenca,estado,Casos_per_capita,Mortes_per_capita,Relacao_casos_mes,Relacao_obitos_mes,Diferenca_aprovacao,Diferenca_reprovacao
Abadia de Goiás,23061.21,0.708,59.77,47.49587231700606,Goiás,0.0894790835518066,0.0011398609369656,0.0044454576541661,0.0002279721873931,-1.0999999999999943,0.0
Abadiânia,17302.04,0.689,19.18,43.82055852644088,Goiás,0.0100289392276219,0.0006985330805308,0.0006985330805308,9.979044007584074e-05,5.0,-3.9
Abaetetuba,9480.05,0.628,97.91,19.080652778506582,Pará,0.0344138796940988,0.0007863130794303,0.007780694745653,3.170617255767353e-05,6.1000000000000085,-2.4
Abaeté,22262.55,0.698,12.79,12.441724941724942,Minas Gerais,0.0164823342083745,0.0002151740758273,0.0085639282179283,4.303481516546887e-05,-7.299999999999997,0.3000000000000007
Abaiara,8051.85,0.628,65.63,49.57542457542458,Ceará,0.0143989094317116,0.0003408025900996,0.0018744142455482,8.520064752492119e-05,5.0,-2.0
Abaré,7530.64,0.575,13.53,28.756957328385894,Bahia,0.0083640346510006,4.9785920541670816e-05,0.00089614656975,4.9785920541670816e-05,6.200000000000003,-2.3
Abatiá,25316.37,0.687,32.6,1.851851851851848,Paraná,0.023870189084082,0.0001341021858656,0.0111304814268472,0.0,5.099999999999994,0.0
Abdon Batista,25435.92,0.694,10.88,37.14285714285714,Santa Catarina,0.0624268435427233,0.000390167772142,0.0027311744049941,0.000390167772142,0.0,0.0
Abel Figueiredo,11456.64,0.622,12.1,11.919191919191924,Pará,0.0594565509819747,0.0002690341673392,0.0040355125100887,0.0,4.900000000000006,0.0
Abelardo Luz,36959.79,0.696,18.74,11.29959746981023,Santa Catarina,0.041275692582663,0.0009495084897229,0.0078194816800714,0.0003351206434316,0.1000000000000085,4.800000000000001
Abre Campo,15123.22,0.654,28.59,17.655172413793107,Minas Gerais,0.0174669243347703,0.0002229820127843,0.0052029136316337,0.0001486546751895,-5.200000000000003,1.7
Abreu e Lima,17756.99,0.679,767.59,30.063498807922,Pernambuco,0.0134813481348134,0.0014601460146014,0.0029402940294029,0.0001200120012001,5.300000000000011,-5.4
Abreulândia,20911.8,0.665,1.36,75.29411764705883,Tocantins,0.0411012020162853,0.0015509887553315,0.0034897246994959,0.0,2.4000000000000057,0.0
Acaiaca,13982.58,0.63,39.2,16.190476190476193,Minas Gerais,0.0252879318978467,0.000751126690035,0.0062593890836254,0.0,-0.2999999999999971,-2.3
Acajutiba,8380.48,0.582,78.36,25.59523809523809,Bahia,0.0168216900850979,0.0003958044725905,0.001715152714559,0.0,-76.4,-21.6
Acarape,9544.34,0.606,93.13,14.492585727525483,Ceará,0.1316230156072074,0.0009377721213745,0.0018085605197936,6.698372295532186e-05,3.0999999999999943,-1.0
Acaraú,11329.55,0.601,74.35,34.4460443100911,Ceará,0.0442521671109975,0.0009259111444581,0.0002554237639884,0.0,5.5,-3.2
Acari,11739.54,0.679,18.3,32.86713286713287,Rio Grande do Norte,0.0304418103448275,0.0006285919540229,0.0101472701149425,0.0,6.099999999999994,-4.1
Acará,13625.95,0.506,12.8,26.227658422097853,Pará,0.0158119120001439,0.0002878163731539,0.0001798852332212,0.0,35.099999999999994,-16.0
Acauã,7816.06,0.528,5.54,44.64285714285714,Piauí,0.0162337662337662,0.0001411631846414,0.005081874647092,0.0001411631846414,-4.800000000000011,0.0
Aceguá,51427.97,0.687,3.16,44.44444444444444,Rio Grande do Sul,0.012242399510304,0.0,0.00510099979596,0.0,7.1000000000000085,-9.1
Acopiara,8527.43,0.595,24.08,30.298848405499665,Ceará,0.0257969412198267,0.0011055831951354,0.0008844665561083,7.370554634236226e-05,0.2000000000000028,0.0
Acorizal,15620.31,0.628,6.42,40.27777777777778,Mato Grosso,0.0413039451750324,0.0012965363956288,0.0040748286719762,0.0,11.700000000000005,-10.0
Acrelândia,16623.6,0.604,8.44,41.98369565217392,Acre,0.0387388568432092,0.0009176717357105,0.0041295228106974,0.0001966439433665,5.700000000000003,4.4
Acreúna,29728.12,0.686,14.28,46.45660334432942,Goiás,0.0469909684342305,0.0012071894840382,0.0002235536081552,4.471072163104712e-05,0.0,0.0
Adamantina,32400.51,0.79,85.25,2.8269648959304163,São Paulo,0.0248374586517622,0.0005703205201323,0.0089540321660773,0.000142580130033,-0.0999999999999943,0.3
Adelândia,14792.3,0.702,21.81,58.57142857142857,Goiás,0.0365659777424483,0.0007949125596184,0.0015898251192368,0.0,0.0,0.0
Adolfo,31265.58,0.73,16.88,21.42857142857143,São Paulo,0.0463222908478382,0.0014037057832678,0.0075800112296462,0.0,0.0,0.0
Adrianópolis,36344.53,0.667,4.39,33.83838383838384,Paraná,0.0900489947626288,0.0013515796587261,0.0390268626457171,0.000675789829363,0.0,0.0
Adustina,10180.39,0.546,26.96,5.913978494623654,Bahia,0.0102112676056338,0.0002347417840375,0.0024061032863849,0.0,3.0,-5.6
Afogados da Ingazeira,12464.16,0.657,98.65,28.17042405798262,Pernambuco,0.0526315789473684,0.0006978179768646,0.010091521511581,0.0001073566118253,4.599999999999994,-4.3
Afonso Bezerra,9240.78,0.585,19.15,11.803519061583575,Rio Grande do Norte,0.0197553239691889,0.0009968282736746,0.0017217942908926,0.0,9.599999999999994,-5.5
Afonso Cláudio,14487.2,0.667,32.04,25.009696186166774,Espírito Santo,0.060256326423854,0.0010789249983652,0.014549140129471,0.0002615575753612,0.7999999999999972,0.0
Afonso Cunha,7075.68,0.529,17.57,46.36363636363637,Maranhão,0.0232985898221949,0.0003065603923973,0.0,0.0,-37.10000000000001,38.3
Afrânio,8663.84,0.588,13.17,37.81527853384141,Pernambuco,0.0245989304812834,0.0003565062388591,0.0087598675833969,0.0001527883880825,1.7000000000000028,-1.7
Afuá,9446.15,0.489,4.68,30.181818181818183,Pará,0.0653526441939925,0.0002804834514763,0.0033912999133051,0.0,26.599999999999994,-8.3
Agrestina,11341.74,0.592,123.53,33.588826435019584,Pernambuco,0.0279284709664456,0.0013261000602772,0.0025718304199316,0.0,6.900000000000006,-5.0
Agricolândia,7950.03,0.599,45.71,22.2972972972973,Piauí,0.0142050982681455,0.0,0.0011675423234092,0.0,-8.5,-2.6
Agrolândia,25390.33,0.725,52.45,54.231974921630105,Santa Catarina,0.0415132547864506,0.0005522827687776,0.0110456553755522,0.0,3.899999999999992,-1.9000000000000004
Agronômica,29713.26,0.741,41.91,56.66666666666667,Santa Catarina,0.0457048458149779,0.001101321585903,0.0124816446402349,0.0,-22.200000000000003,12.2
Aguanil,13840.42,0.663,19.33,45.23809523809524,Minas Gerais,0.0356665180561747,0.0006687472135532,0.0127061970575122,0.0,0.0,0.0
Aguaí,28249.47,0.715,76.47,2.886178861788615,São Paulo,0.0194739016664371,0.0004407106459165,0.0070513703346646,0.0001928109075884,2.0999999999999943,-2.1
Agudo,32617.2,0.694,30.7,-5.268292682926827,Rio Grande do Sul,0.0173136504465099,0.0001822489520685,0.0072292084320515,0.000121499301379,0.5,-1.4
Agudos,61650.21,0.745,38.52,19.76274347285537,São Paulo,0.0303649164293008,0.0005105605417316,0.0052399634546138,2.687160745955823e-05,2.5999999999999943,-2.1
Agudos do Sul,23289.03,0.66,48.75,55.0,Paraná,0.0259310639206061,0.0001067121972041,0.0104577953260057,0.0,-0.3999999999999915,-4.9
Aguiar,8897.54,0.597,16.36,48.69281045751633,Paraíba,0.0108156028368794,0.000177304964539,0.002304964539007,0.000177304964539,-5.900000000000006,0.0
Aguiarnópolis,24191.06,0.657,28.6,31.71390013495276,Tocantins,0.0695083915045299,0.0013366998366255,0.0013366998366255,0.0,2.0,-2.0
Aimorés,18339.14,0.684,18.66,20.34412955465588,Minas Gerais,0.0356021774546032,0.0005562840227281,0.0112846187467715,0.000158938292208,-9.199999999999989,11.0
Aiuaba,7438.27,0.569,7.15,44.68447237496727,Ceará,0.0051152365078452,5.7474567503879534e-05,0.0008046439450543,0.0,6.099999999999994,-1.5
Aiuruoca,16513.17,0.668,9.24,54.54545454545454,Minas Gerais,0.0064967516241879,0.0006663334999167,0.0021655838747293,0.0,-6.299999999999997,8.4
Ajuricaba,42986.78,0.753,21.73,35.65217391304348,Rio Grande do Sul,0.0616457858769931,0.0005694760820045,0.0128132118451025,0.0002847380410022,4.299999999999997,0.0
Alagoa Grande,9699.38,0.582,88.89,14.64530892448513,Paraíba,0.0622543514879281,0.0010527793374508,0.0019300954519932,3.509264458169568e-05,21.200000000000003,-13.4
Alagoa Nova,15631.55,0.576,170.54,14.216005204944691,Paraíba,0.0223991558348122,0.0004796393112379,0.0012470622092186,0.0,11.799999999999995,-3.1
Alagoinha,7934.57,0.595,149.4,36.17647058823529,Paraíba,0.0775760922078818,0.0011042860100766,0.0011042860100766,0.0002070536268893,1.4000000000000057,-1.4
Alagoinha,9579.05,0.599,67.19,0.7270323859881032,Pernambuco,0.0243919103580213,0.0008198961464881,0.0063541951352828,0.000136649357748,2.4000000000000057,-2.4
Alagoinha do Piauí,7714.63,0.531,14.36,34.12698412698413,Piauí,0.0215658083910599,0.0006535093451836,0.0013070186903672,0.0,3.799999999999997,-1.9
Alagoinhas,28109.5,0.683,201.49,13.225775972031936,Bahia,0.0480487611810338,0.0006728409720573,0.0058312884244966,3.9578880709253545e-05,12.0,-6.2
Alambari,17145.55,0.712,37.83,30.952380952380963,São Paulo,0.023402489626556,0.0006639004149377,0.0071369294605809,0.0,0.0,0.0
Albertina,15732.1,0.673,51.84,12.5,Minas Gerais,0.0256069171932158,0.0016627868307283,0.0083139341536415,0.0,0.0,0.0
Alcantil,7977.88,0.578,17.98,27.08333333333333,Paraíba,0.0185724690458849,0.0001820830298616,0.002367079388201,0.0001820830298616,14.700000000000005,-14.7
Alcinópolis,31408.71,0.711,1.21,54.16666666666666,Mato Grosso do Sul,0.0125397716638592,0.0003743215422047,0.0065506269885831,0.0,-17.60000000000001,21.9
Alcobaça,12843.74,0.608,15.17,10.046511627906977,Bahia,0.0393858477970627,0.0007120605251446,0.0012906097018246,8.900756564307967e-05,17.60000000000001,-12.1
Alcântara,5690.89,0.573,14.86,19.86122021471589,Maranhão,0.0091415124225007,0.0003620400959406,0.0,0.0,-12.399999999999991,9.9
Alcântaras,6976.04,0.6,84.51,35.901386748844374,Ceará,0.0526720163906436,0.0003414717432132,0.0039269250469523,0.0,3.9000000000000057,-2.4
Aldeias Altas,7522.87,0.513,13.66,36.47058823529412,Maranhão,0.0356927483793155,0.0004145936981757,0.0,0.0,-21.0,-0.5
Alecrim,19836.1,0.672,18.9,-0.2976190476190474,Rio Grande do Sul,0.0119327731092436,0.0003361344537815,0.0048739495798319,0.0001680672268907,0.0,0.0
Alegre,15854.35,0.721,38.93,23.15062966485116,Espírito Santo,0.0333732216460577,0.000831006515091,0.0095067145326419,9.97207818109294e-05,-2.700000000000003,1.1
Alegrete,29053.31,0.74,9.43,15.608083724287262,Rio Grande do Sul,0.0318525866637676,0.0005843264618353,0.0063732351302504,0.000176656837299,9.700000000000005,-11.2
Alegrete do Piauí,8601.13,0.585,17.39,31.66666666666667,Piauí,0.071820956256358,0.0006103763987792,0.0012207527975584,0.0,-11.299999999999995,0.0
Alegria,32016.16,0.695,20.06,70.83333333333334,Rio Grande do Sul,0.0536951501154734,0.0002886836027713,0.0153002309468822,0.0002886836027713,16.700000000000003,-11.1
Alenquer,10064.02,0.564,2.4,28.21580806235538,Pará,0.0290020954762365,0.00052827132015,0.00109176072831,0.0,15.800000000000011,-12.5
Alexandria,10712.92,0.606,35.62,19.534050179211476,Rio Grande do Norte,0.0335125580025042,0.0006628857626868,0.0140679089636885,0.0002209619208956,26.599999999999994,-19.0
Alexânia,34289.85,0.682,32.61,46.10590395207267,Goiás,0.0542436625320941,0.0009040610422015,0.0043033305608794,7.232488337612555e-05,4.400000000000006,-2.4
Alfenas,32281.39,0.761,94.06,19.87617476897301,Minas Gerais,0.0391144557227861,0.0008375418770938,0.0095004750237511,5.000250012500625e-05,-6.800000000000011,2.1999999999999997
Alfredo Chaves,24625.87,0.71,23.72,42.97872340425532,Espírito Santo,0.0981439627422779,0.0012327922745017,0.0234915416752277,0.0005479076775563,2.200000000000003,-2.5
Alfredo Marcondes,20861.37,0.741,35.19,11.764705882352946,São Paulo,0.0268843014882381,0.0009601536245799,0.0043206913106096,0.0002400384061449,-5.5,5.5
Alfredo Vasconcelos,17587.53,0.675,52.8,10.833333333333332,Minas Gerais,0.0154915303315477,0.0004343419719125,0.0091211814101636,0.0002895613146083,6.700000000000003,-5.6000000000000005
Alfredo Wagner,26906.11,0.668,13.71,15.42857142857143,Santa Catarina,0.0476285372658429,9.964129135113592e-05,0.0119569549621363,0.0,-7.5,8.9
Algodão de Jandaíra,9942.99,0.548,11.66,29.52380952380952,Paraíba,0.016361511492014,0.0,0.0042851577717179,0.0,0.0,0.0
Alhandra,96064.51,0.582,107.24,39.922019561194816,Paraíba,0.0400755564631407,0.0009699816214008,0.000612619971411,0.0,12.299999999999995,-5.7
Aliança,8626.09,0.604,140.72,21.418308702791464,Pernambuco,0.0107851820976397,0.0007815349346115,0.0002344604803834,0.0,0.7000000000000028,-0.7
Aliança do Tocantins,20285.98,0.663,3.41,45.067567567567565,Tocantins,0.0406307977736549,0.0007421150278293,0.0048237476808905,0.0001855287569573,1.9000000000000057,-1.9
Almas,24366.85,0.636,1.76,68.5064935064935,Tocantins,0.0195605953224663,0.0002834868887313,0.0039688164422395,0.0,-1.0999999999999943,1.1
Almeirim,15974.52,0.642,0.47,49.0404943893316,Pará,0.0080623882259814,0.0005277199566096,0.000146588876836,0.0,11.200000000000005,-5.0
