municipio;estado;codigo;Total_Alunos;Relacao_cadastrados;Casos_per_capita;Mortes_per_capita;Relacao_casos_mes;Relacao_obitos_mes;Diferenca_aprovacao;Diferenca_reprovacao;Diferenca_desistencia;diferenca
Salvador;Bahia;2927408.0;10500.0;0.0036555471884142134;0.0414821050520706;0.0011401825754339;0.0052103732592197;6.162208117612531e-05;11.600000000000009;-8.5;-3.0999999999999996;14.52587432572429
Santana de Parnaíba;São Paulo;3547304.0;906.0;0.0064970920851649735;0.0416502327048986;0.0009752809311064;0.0084476539473778;0.0001075677497543;0.09999999999999432;-0.10000000000000003;0.0;25.9359482679779
Feira de Santana;Bahia;2910800.0;2458.0;0.003997579984126778;0.0391740069477875;0.0006472891918968;0.0041976216188084;9.75812852105804e-05;10.5;-7.8999999999999995;-2.6;13.143337224362538
Itapiranga;Amazonas;1302009.0;100.0;0.010931351114997814;0.2039790118058592;0.0019676432006996;0.0392435505028421;0.0006558810668998;17.400000000000006;-1.2;-16.2;32.44444444444444
Oeiras;Piauí;2207009.0;259.0;0.0069945178103648495;0.0599260039428556;0.0006211347862486;0.0058332658186826;0.0001080234410867;0.5;-0.30000000000000004;-0.20000000000000018;13.30341592871426
Várzea Grande;Mato Grosso;5108402.0;1065.0;0.0037372223840320593;0.0472960406497503;0.0020598587224664;0.0055198599155703;0.0001649290629572;13.899999999999991;-6.6;-7.3;24.281335317714547
Cunha;São Paulo;3513603.0;42.0;0.0019492272706177194;0.0129020281245649;9.28203462198914e-05;0.0049194783496542;0.0;-0.4000000000000057;-0.5;0.8999999999999999;36.90476190476191
Itaguaí;Rio de Janeiro;3302007.0;529.0;0.00397687548395342;0.0261842293206233;0.0013005660845443;0.0028642524752103;0.0001202835685127;4.400000000000006;-0.7999999999999998;-3.5999999999999996;24.17317121578401
Brasília;Distrito Federal;5300108.0;19840.0;0.006579846302219239;0.0876296899645404;0.0014662046624048;0.0075704713478204;0.0001041366803879;0.7000000000000028;1.5;-2.1999999999999997;16.609910123215855
Redenção;Ceará;2311603.0;482.0;0.016590369325026676;0.0633325302034213;0.0016177331084569;0.003407565483771;0.0001376794134856;2.6000000000000085;-4.0;1.4000000000000001;33.49225981487392
Buriti dos Lopes;Piauí;2202000.0;102.0;0.005156463272837571;0.0412517061827005;0.0006066427379808;0.0002022142459936;0.0;10.400000000000006;-3.0;-7.3999999999999995;18.74451273046532
Belo Horizonte;Minas Gerais;3106200.0;11826.0;0.004707671362661072;0.0304796442774285;0.0008120792812302;0.0073911156934321;0.0001150445648409;-2.0;0.2999999999999998;1.7000000000000002;17.322187980228456
Guarapari;Espírito Santo;3202405.0;606.0;0.004853474719483578;0.0606283888225918;0.0014896803594454;0.0140878911412072;0.0002562890940981;0.6000000000000085;-1.2000000000000002;0.5999999999999999;20.03091448385345
Rio de Janeiro;Rio de Janeiro;3304557.0;26431.0;0.0039338266976022725;0.026758534838202;0.002399052345301;0.003982941858217;0.000292904957848;4.599999999999994;-0.7000000000000002;-3.9000000000000004;16.713732537505518
Nova Palma;Rio Grande do Sul;4313102.0;26.0;0.003992628992628993;0.0142813267813267;0.0001535626535626;0.0067567567567567;0.0;-9.5;0.0;9.5;19.23076923076923
Maceió;Alagoas;2704302.0;5070.0;0.004975720056371866;0.0391599963884319;0.0011423546638297;0.0060503578200261;0.0001167871176939;7.300000000000011;-5.2;-2.1;16.38249446836209
Aracruz;Espírito Santo;3200607.0;636.0;0.006283343212803794;0.0871369294605809;0.0011262596324836;0.0257360205492985;0.0002371072910491;2.4000000000000057;0.7000000000000001;-3.0999999999999996;20.3312418242689
Rio do Sul;Santa Catarina;4214805.0;408.0;0.0057415459956938406;0.056993287457255;0.0004221724996833;0.0144664443224835;8.443449993667413e-05;-5.599999999999994;6.7;-1.1;25.631171322944454
