colunas,IN_TREINEIRO,NU_ANO,Q001,Q002,Q003,Q004,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,SG_UF_ESC,SG_UF_PROVA,TP_DEPENDENCIA_ADM_ESC,TP_ENSINO,TP_ESCOLA,TP_ESTADO_CIVIL,TP_LOCALIZACAO_ESC,TP_NACIONALIDADE,TP_SEXO,TP_SIT_FUNC_ESC,TP_ST_CONCLUSAO,falta
IN_TREINEIRO,1.0,1.0,0.18711418754508588,0.1919364696694458,0.1766529673630879,0.17836841851574195,0.1880455251913081,0.13586416308857904,0.18692859532205425,0.1420953586580915,0.16849619831796384,0.026219749347968994,0.08349307901740208,0.12325110326459181,0.08469931057544122,0.06708924491928782,0.0928920276058654,0.06726894364666053,0.12219861001908129,0.15418196787222127,0.07904578434130158,0.12011439168698106,0.11614277449719984,0.06662602693425512,0.12211545753468576,0.06271587800439038,1.0,0.06348243250211648,1.0,1.0,0.2358241531668303,0.11037397425738044,1.0,0.011880469706505355,0.02504853619370131,1.0,0.9999998037394503,0.10770778495238419
NU_ANO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q001,0.18711418754508588,1.0,1.0,0.33975205147282955,0.38777224960557966,0.2572657277332251,0.23350854427448905,0.18032598392027996,0.23364299903421054,0.14520239890544262,0.20794594509075487,0.03537370841698239,0.09360488010006489,0.14405063155069506,0.1552732907115985,0.08361789938013335,0.1489765991508488,0.1053099484873016,0.3367425772028996,0.18796331426036977,0.13298958865395633,0.3267268296936221,0.16560451134806284,0.2684644634798255,0.22625169781609167,0.2559374250041225,0.11048882544464045,0.08549822800072882,0.2585995658113911,0.014626413554531726,0.1822229350495328,0.08355791295257328,0.08710319105731634,0.019635246721516755,0.07199579562666239,0.01090536721946943,0.13166712290564286,0.12781097600773683
Q002,0.1919364696694458,1.0,0.33975205147282955,1.0,0.24382234600680042,0.34769155618844233,0.20285431898929876,0.16261135873366755,0.20681889805307038,0.13814928989943592,0.19026164163320766,0.017429493911990848,0.0807026593953145,0.12511341998250042,0.1368364184578246,0.07108320324947784,0.13200376963346783,0.08201613795742292,0.28187298128723043,0.1609044100888284,0.09791196386360046,0.2847954282042146,0.15264942478682267,0.2263591696222982,0.20091260665445243,0.24551238400520656,0.11164213407288018,0.0731243723232117,0.24324227486091118,0.01693855679709437,0.17028117583921895,0.10158578218650562,0.0757806024822233,0.01780404157933479,0.06992248251370443,0.011861175212473884,0.13498018355393415,0.13723814037916843
Q003,0.1766529673630879,1.0,0.38777224960557966,0.24382234600680042,1.0,0.41981816616395723,0.3202536591596867,0.22330545073973823,0.270420421084791,0.1610082164384065,0.23819686476445162,0.059616365609823946,0.1146144628589756,0.16071403534721285,0.1811089698382321,0.09582825123303221,0.17493749591830668,0.1213404968945658,0.3617375019586956,0.2213399886337689,0.14878070564260337,0.36036748287377574,0.18468226186353473,0.2948224022951416,0.24303575086059906,0.30056060157436676,0.15739682125139234,0.1264143371448947,0.2837949156446722,0.008604204848239417,0.1904160068272517,0.04663903401053169,0.16490384847807882,0.02052854409055293,0.06520781528646356,0.012858984515289789,0.11106385843438112,0.10053134023792168
Q004,0.17836841851574195,1.0,0.2572657277332251,0.34769155618844233,0.41981816616395723,1.0,0.297498945775677,0.22146671019620953,0.2505268581805637,0.15042680091009275,0.21909197125998509,0.05116396197011589,0.10488764934939178,0.14731335168974902,0.17447815207147577,0.08845873543357012,0.16588871250657525,0.10998905313115483,0.32414335262369437,0.19997438597924302,0.12748228234226944,0.33035669374593435,0.17263154717397947,0.26819493440785164,0.22787738035074406,0.2969164335648602,0.16304497500787207,0.12867497021753313,0.26454339648887853,0.008581361747796551,0.17742010125945246,0.05134833278204461,0.1633758005305528,0.019776692422925648,0.06430563517106581,0.01229869085282251,0.11249641237681068,0.1021744029595709
Q006,0.1880455251913081,1.0,0.23350854427448905,0.20285431898929876,0.3202536591596867,0.297498945775677,1.0,0.30022460439773807,0.3611524317136523,0.2384360794062038,0.34839281676173534,0.048978374544039555,0.16350335069351218,0.21827866464506768,0.24434225370937734,0.1307749909493149,0.2309113109647012,0.15932923605638144,0.4904032629215508,0.302074885087851,0.20112557153601973,0.46671537153980475,0.2685571198654854,0.38599758862941286,0.3385695495712253,0.40276310914826224,0.1202417809672317,0.09835044289647496,0.328579208620924,0.012453715675891144,0.21666365984549088,0.03171133329919075,0.08640795100806052,0.029402560408344068,0.10617818078469868,0.015115472552359333,0.11776116670986397,0.10597505693559044
Q007,0.13586416308857904,1.0,0.18032598392027996,0.16261135873366755,0.22330545073973823,0.22146671019620953,0.30022460439773807,1.0,0.28093812155146886,0.16696272166564563,0.21869272524822359,0.026428269173508094,0.13756124376085446,0.1440320038257149,0.09664441466834758,0.09289288363803702,0.11170007886717197,0.13603893813162116,0.23020486366208195,0.21656699189405984,0.1326794336776105,0.2632077095023482,0.11060256895259121,0.17343587671479585,0.19044785465954184,0.09765194122457681,0.05408997222480495,0.04768375937018143,0.19907824045706426,0.0032466720057942097,0.14097814026120623,0.022492781450483168,0.03128310129423457,0.009661902725992096,0.026513932244463016,0.008875420006953743,0.08600562320514597,0.04022975892092194
Q008,0.18692859532205425,1.0,0.23364299903421054,0.20681889805307038,0.270420421084791,0.2505268581805637,0.3611524317136523,0.28093812155146886,1.0,0.32454547428632835,0.3047978493699199,0.03933847830117818,0.21155632264960922,0.2102230346048307,0.1876382511339121,0.11344731159772563,0.19233597942961483,0.14951722281790267,0.41740340892986444,0.311762539230064,0.19639823640020296,0.38920420649761694,0.22120145599426705,0.3163532781968891,0.2702157365870118,0.2783854960614942,0.11728075041239198,0.09904649495660843,0.27932226368149593,0.008872624639906878,0.19194171986114142,0.03374474637014346,0.07146063468777232,0.019224935106864637,0.06257355951889583,0.0129408074929232,0.11791189554283273,0.10326197341998304
Q009,0.1420953586580915,1.0,0.14520239890544262,0.13814928989943592,0.1610082164384065,0.15042680091009275,0.2384360794062038,0.16696272166564563,0.32454547428632835,1.0,0.23272772924371254,0.068800526600211,0.16918267584727312,0.15890580034838225,0.14939787467177032,0.08817957343371431,0.14416399232049748,0.08165812498788387,0.2771696693541822,0.233109235372991,0.17217364500112559,0.26672090823479194,0.2587459817812039,0.2173345789425121,0.19306664587514524,0.2524649884992524,0.15411169798122218,0.11642006042072624,0.1508393041420899,0.011662937352680097,0.10770957638318457,0.06669262515587165,0.007761751711527045,0.01112236200837084,0.04693727368743201,0.007170826289902185,0.0986820739165971,0.10645465419970405
