PIB,codigo
21600.73,110001
23908.38,110002
26347.78,110003
26483.95,110004
31051.55,110005
21083.7,110006
47253.06,110007
13025.4,110008
19298.21,110009
19337.36,110010
28988.7,110011
29332.41,110012
15828.73,110013
17560.03,110014
23148.83,110015
31747.87,110018
33825.46,110020
22529.85,110025
29496.09,110026
23310.58,110028
21957.13,110029
28353.15,110030
26768.26,110032
17305.73,110033
18065.91,110034
21802.07,110037
16728.75,110040
18309.15,110045
19414.09,110050
23184.1,110060
19423.4,110070
20526.69,110080
34063.78,110090
27254.46,110092
15263.84,110094
22907.39,110100
17595.57,110110
22402.58,110120
19826.97,110130
18405.76,110140
16834.09,110143
17662.61,110145
53712.92,110146
21653.12,110147
17252.6,110148
17430.53,110149
19931.84,110150
21431.82,110155
18336.7,110160
18782.66,110170
14886.27,110175
21474.56,110180
16623.6,120001
12546.06,120005
17307.35,120010
15357.06,120013
13058.02,120017
16298.3,120020
22984.25,120025
10263.53,120030
9917.53,120032
10847.1,120033
13908.96,120034
10348.08,120035
13407.1,120038
9918.76,120039
22448.3,120040
10118.01,120042
11498.11,120043
15696.56,120045
11783.19,120050
11362.96,120060
14236.46,120070
12294.58,120080
12221.58,130002
8276.87,130006
8948.45,130008
9497.56,130010
10337.08,130014
7578.72,130020
9679.17,130030
6920.09,130040
8724.81,130050
8162.05,130060
8454.37,130063
7756.75,130068
12490.68,130070
7947.15,130080
12934.97,130083
8053.42,130090
11940.27,130100
8688.0,130110
10393.08,130115
25997.01,130120
17620.6,130130
13659.2,130140
8614.45,130150
10625.87,130160
7951.37,130165
12680.12,130170
5843.2,130180
13752.69,130185
20077.08,130190
13029.89,130195
14162.35,130200
23277.54,130210
7918.6,130220
15908.16,130230
10994.24,130240
14902.39,130250
8174.55,130255
38880.73,130260
9740.64,130270
7609.64,130280
8476.64,130290
7893.03,130300
7391.99,130310
8664.53,130320
8263.52,130330
10300.48,130340
8566.43,130350
26395.42,130353
12417.89,130356
6063.41,130360
8768.8,130370
7846.88,130380
7220.56,130390
8742.49,130395
12465.61,130400
9365.33,130406
11309.44,130410
17092.46,130420
7871.99,130423
14635.2,130426
18695.49,130430
7978.21,130440
14656.62,140002
20335.17,140005
26482.05,140010
27231.41,140015
15982.59,140017
17238.65,140020
19607.6,140023
13579.84,140028
17885.01,140030
15837.16,140040
14885.59,140045
20258.48,140047
25512.88,140050
18485.82,140060
11522.07,140070
9480.05,150010
11456.64,150013
13625.95,150020
9446.15,150030
15843.51,150034
10064.02,150040
15974.52,150050
24250.13,150060
7326.86,150070
15389.79,150080
14926.79,150085
