,municipio,PIB,codigo
50115,Alta Floresta D'Oeste,21600.73,1100015
50116,Ariquemes,23908.38,1100023
50117,Cabixi,26347.78,1100031
50118,Cacoal,26483.95,1100049
50119,Cerejeiras,31051.55,1100056
50120,Colorado do Oeste,21083.7,1100064
50121,Corumbiara,47253.06,1100072
50122,Costa Marques,13025.4,1100080
50123,Espigão D'Oeste,19298.21,1100098
50124,Guajará-Mirim,19337.36,1100106
50125,Jaru,28988.7,1100114
50126,Ji-Paraná,29332.41,1100122
50127,Machadinho D'Oeste,15828.73,1100130
50128,Nova Brasilândia D'Oeste,17560.03,1100148
50129,Ouro Preto do Oeste,23148.83,1100155
50130,Pimenta Bueno,31747.87,1100189
50131,Porto Velho,33825.46,1100205
50132,Presidente Médici,22529.85,1100254
50133,Rio Crespo,29496.09,1100262
50134,Rolim de Moura,23310.58,1100288
50135,Santa Luzia D'Oeste,21957.13,1100296
50136,Vilhena,28353.15,1100304
50137,São Miguel do Guaporé,26768.26,1100320
50138,Nova Mamoré,17305.73,1100338
50139,Alvorada D'Oeste,18065.91,1100346
50140,Alto Alegre dos Parecis,21802.07,1100379
50141,Alto Paraíso,16728.75,1100403
50142,Buritis,18309.15,1100452
50143,Novo Horizonte do Oeste,19414.09,1100502
50144,Cacaulândia,23184.1,1100601
50145,Campo Novo de Rondônia,19423.4,1100700
50146,Candeias do Jamari,20526.69,1100809
50147,Castanheiras,34063.78,1100908
50148,Chupinguaia,27254.46,1100924
50149,Cujubim,15263.84,1100940
50150,Governador Jorge Teixeira,22907.39,1101005
50151,Itapuã do Oeste,17595.57,1101104
50152,Ministro Andreazza,22402.58,1101203
50153,Mirante da Serra,19826.97,1101302
50154,Monte Negro,18405.76,1101401
50155,Nova União,16834.09,1101435
50156,Parecis,17662.61,1101450
50157,Pimenteiras do Oeste,53712.92,1101468
50158,Primavera de Rondônia,21653.12,1101476
50159,São Felipe D'Oeste,17252.6,1101484
50160,São Francisco do Guaporé,17430.53,1101492
50161,Seringueiras,19931.84,1101500
50162,Teixeirópolis,21431.82,1101559
50163,Theobroma,18336.7,1101609
50164,Urupá,18782.66,1101708
50165,Vale do Anari,14886.27,1101757
50166,Vale do Paraíso,21474.56,1101807
50167,Acrelândia,16623.6,1200013
50168,Assis Brasil,12546.06,1200054
50169,Brasiléia,17307.35,1200104
50170,Bujari,15357.06,1200138
50171,Capixaba,13058.02,1200179
50172,Cruzeiro do Sul,16298.3,1200203
50173,Epitaciolândia,22984.25,1200252
50174,Feijó,10263.53,1200302
50175,Jordão,9917.53,1200328
50176,Mâncio Lima,10847.1,1200336
50177,Manoel Urbano,13908.96,1200344
50178,Marechal Thaumaturgo,10348.08,1200351
