Name,CodMun,PIB per Capita,Quantidade de Leitos - Pneumologia,Quantidade de Leitos - Complementares,Quantidade de Leitos - Internacao,Quantidade de Profissionais de Saude,Quantidade de Ventiladores e Respiradores,Ventiladores e Respiradores em uso,Existem Favelas (s/n),Área (km²),Populacao (2019),Densidade Demográfica (hab/km²),Quantidade de Leitos - Pneumologia (por 100 mil hab)
Alta Floresta D'Oeste-RO,110001,13231,,2.00,49.00,333,,,,7067.04,22945.00,3.25,
Alto Alegre dos Parecis-RO,110037,13222,,,16.00,106,,,0.00,3958.28,13241.00,3.35,
Alto Paraíso-RO,110040,10987,,,16.00,177,1.00,1.00,0.00,2651.81,21428.00,8.08,
Alvorada D'Oeste-RO,110034,10993,,,35.00,136,,,,3029.19,14411.00,4.76,
Ariquemes-RO,110002,17566,,36.00,240.00,1319,49.00,49.00,0.00,4426.58,107863.00,24.37,
Buritis-RO,110045,11658,1.00,1.00,66.00,363,8.00,8.00,0.00,3265.81,39654.00,12.14,2.52
Cabixi-RO,110003,14828,,,9.00,104,,,0.00,1314.36,5312.00,4.04,
Cacaulândia-RO,110060,15780,,,26.00,54,,,,1961.78,6230.00,3.18,
Cacoal-RO,110004,16480,,37.00,360.00,2323,59.00,58.00,0.00,3792.80,85359.00,22.51,
Campo Novo de Rondônia-RO,110070,12886,,,19.00,159,,,0.00,3442.01,14139.00,4.11,
Candeias do Jamari-RO,110080,14270,,,15.00,221,,,0.00,6843.89,26693.00,3.90,
Castanheiras-RO,110090,14441,,,7.00,90,1.00,,0.00,892.84,3052.00,3.42,
Cerejeiras-RO,110005,18918,,2.00,40.00,246,,,,2783.30,16323.00,5.86,
Chupinguaia-RO,110092,23416,,,10.00,153,,,,5126.73,11182.00,2.18,
Colorado do Oeste-RO,110006,12619,,,50.00,215,2.00,2.00,0.00,1451.06,15882.00,10.95,
Corumbiara-RO,110007,18667,,,16.00,113,,,0.00,3060.33,7391.00,2.42,
Costa Marques-RO,110008,9439,,,45.00,113,,,0.00,4987.19,18331.00,3.68,
Cujubim-RO,110094,12838,,,11.00,110,,,1.00,3863.95,25215.00,6.53,
Espigão D'Oeste-RO,110009,13303,,1.00,54.00,275,3.00,3.00,,4518.04,32374.00,7.17,
Governador Jorge Teixeira-RO,110100,13344,,,22.00,111,1.00,1.00,,5067.39,7767.00,1.53,
Guajará-Mirim-RO,110010,16774,,,97.00,675,3.00,3.00,1.00,24855.77,46174.00,1.86,
Itapuã do Oeste-RO,110110,30334,,,20.00,123,,,,4081.59,10458.00,2.56,
Jaru-RO,110011,19122,,,115.00,726,2.00,2.00,0.00,2944.13,51775.00,17.59,
Ji-Paraná-RO,110012,18143,1.00,12.00,259.00,1774,22.00,22.00,0.00,6896.74,128969.00,18.70,0.78
Machadinho D'Oeste-RO,110013,11143,,,48.00,340,1.00,1.00,1.00,8509.32,39991.00,4.70,
Ministro Andreazza-RO,110120,13262,,,16.00,92,,,,798.08,9660.00,12.10,
Mirante da Serra-RO,110130,10763,,,25.00,87,,,0.00,1191.88,10947.00,9.18,
Monte Negro-RO,110140,13193,,,40.00,145,,,0.00,1931.38,15852.00,8.21,
Nova Brasilândia D'Oeste-RO,110014,10693,,,44.00,151,1.00,,,1155.36,20474.00,17.72,
Nova Mamoré-RO,110033,11739,,,20.00,260,2.00,2.00,0.00,10071.66,30583.00,3.04,
Nova União-RO,110143,11010,,,15.00,71,1.00,1.00,0.00,807.13,6970.00,8.64,
Novo Horizonte do Oeste-RO,110050,10766,,,18.00,90,,,0.00,843.45,8538.00,10.12,
Ouro Preto do Oeste-RO,110015,13796,,16.00,117.00,321,9.00,9.00,0.00,1969.85,36035.00,18.29,
Parecis-RO,110145,12990,,,8.00,69,,,,2548.69,6074.00,2.38,
Pimenta Bueno-RO,110018,20785,,,58.00,577,1.00,1.00,0.00,6240.94,36660.00,5.87,
Pimenteiras do Oeste-RO,110146,31906,,,9.00,50,1.00,1.00,,6014.74,2169.00,0.36,
Porto Velho-RO,110020,23638,30.00,315.00,1701.00,10568,301.00,256.00,1.00,34096.43,529544.00,15.53,5.67
Presidente Médici-RO,110025,12719,,,45.00,228,,,0.00,1758.47,18986.00,10.80,
Primavera de Rondônia-RO,110147,13294,,,,78,,,,605.69,2856.00,4.72,
Rio Crespo-RO,110026,17301,,,9.00,56,,,0.00,1717.64,3764.00,2.19,
Rolim de Moura-RO,110028,16632,,4.00,94.00,593,1.00,1.00,,1457.89,55058.00,37.77,
Santa Luzia D'Oeste-RO,110029,14208,,,25.00,94,1.00,,,1197.80,6495.00,5.42,
São Felipe D'Oeste-RO,110148,11402,,,7.00,86,,,0.00,541.65,5172.00,9.55,
São Francisco do Guaporé-RO,110149,13429,,1.00,29.00,257,1.00,1.00,0.00,10959.79,20266.00,1.85,
São Miguel do Guaporé-RO,110032,16701,,,44.00,161,,,0.00,8007.89,23005.00,2.87,
Seringueiras-RO,110150,12573,1.00,,36.00,92,1.00,1.00,,3773.51,11856.00,3.14,8.43
Teixeirópolis-RO,110155,13334,,,9.00,52,1.00,1.00,0.00,459.98,4308.00,9.37,
Theobroma-RO,110160,11302,,,13.00,169,,,0.00,2197.41,10444.00,4.75,
Urupá-RO,110170,11168,,,25.00,107,,,,831.86,11467.00,13.78,
Vale do Anari-RO,110175,9483,,,12.00,97,,,,3135.15,11204.00,3.57,
Vale do Paraíso-RO,110180,12838,,,16.00,80,1.00,1.00,,965.68,6825.00,7.07,
