estado,abstencao
RN,28.311434281583537
DF,28.64813529605143
PB,30.596852788727148
PI,30.711136668583478
BA,30.966553287981856
AC,32.1203007518797
ES,32.79695840854103
PA,34.096584713868666
SE,34.589668931305944
RS,34.950420052334394
RJ,35.07049794752811
AL,35.39681772017217
MG,35.67807502854086
MA,35.95505617977528
AP,36.83982683982684
PR,37.146007028181636
PE,39.36353555730718
MT,39.563957260890255
MS,39.6082370668006
SP,39.91186640978374
SC,42.22041540394707
RR,44.09406734366649
CE,45.19649731376116
TO,46.26728110599078
GO,46.71390898242409
RO,55.357487611815436
AM,59.9129937034917
