,Nome_Município,abstencao
0,Abaetetuba,451
1,Abaeté,100
2,Abreu e Lima,300
3,Acarape,63
4,Acaraú,427
5,Acari,32
6,Acará,68
7,Acopiara,324
8,Acrelândia,75
9,Acreúna,385
10,Adamantina,200
11,Afogados da Ingazeira,225
12,Afonso Cláudio,72
13,Afrânio,195
14,Agrestina,104
15,Agudos,94
16,Aimorés,96
17,Alagoa Grande,59
18,Alagoa Nova,67
19,Alagoinha,72
20,Alagoinhas,357
21,Alcântara,36
22,Alegre,156
23,Alegrete,169
24,Alenquer,183
25,Alexandria,58
26,Alexânia,176
27,Alfenas,292
28,Alhandra,93
29,Aliança,108
30,Almeirim,82
31,Almenara,211
32,Almirante Tamandaré,199
33,Alpinópolis,95
34,Alta Floresta,268
35,Alta Floresta D'Oeste,108
36,Altamira,453
37,Altinho,58
38,Alto Alegre,33
39,Alto Paraíso,89
40,Alto Santo,101
41,Alto do Rodrigues,68
42,Altos,184
43,Alvarães,170
44,Alvinópolis,42
45,Alvorada,382
46,Alvorada D'Oeste,113
47,Alvorada do Norte,144
48,Alvorada do Sul,68
49,Além Paraíba,157
50,Amambai,160
51,Amapá,78
52,Amarante,89
53,Amarante do Maranhão,83
54,Amargosa,105
55,Americana,614
56,Amontada,456
57,Amparo,236
58,Ampére,95
59,Amélia Rodrigues,30
60,Anagé,109
61,Anajatuba,80
62,Anajás,34
63,Anamã,70
64,Ananindeua,1558
65,Ananás,83
66,Anastácio,69
67,Anchieta,169
68,Andradas,126
69,Andradina,218
70,Andrelândia,91
71,Angicos,106
72,Angra dos Reis,475
73,Anori,40
74,Anápolis,2147
75,Aparecida,167
76,Aparecida de Goiânia,1764
77,Aparecida do Taboado,83
78,Apiaí,157
79,Apodi,145
80,Apucarana,447
81,Apuí,61
82,Aquidauana,164
83,Aquiraz,464
84,Aracaju,1707
85,Aracati,676
86,Araci,80
87,Aracoiaba,229
88,Aracruz,302
89,Aragarças,90
90,Araguanã,31
91,Araguari,317
92,Araguatins,255
93,Araguaína,1117
94,Araioses,54
95,Arame,74
96,Arapiraca,816
97,Arapoema,36
98,Arapongas,317
99,Arapoti,55
100,Araputanga,116
101,Araranguá,287
102,Araraquara,664
103,Araras,397
104,Arari,163
105,Araripe,237
106,Araripina,591
107,Araruama,327
108,Araruna,62
109,Aratuba,84
110,Araucária,486
111,Araxá,378
112,Araçatuba,745
113,Araçoiaba,113
114,Araçoiaba da Serra,74
115,Araçuaí,261
116,Arcos,114
117,Arcoverde,726
118,Areado,111
119,Areia,34
120,Areia Branca,109
121,Arenápolis,55
122,Arinos,129
123,Aripuanã,61
124,Ariquemes,530
125,Aroeiras,86
126,Arraias,105
127,Arroio Grande,40
128,Arroio do Meio,54
129,Artur Nogueira,151
130,Arujá,277
131,Assaré,395
132,Assaí,107
133,Assis,449
134,Assis Chateaubriand,141
135,Astorga,114
136,Atalaia,116
137,Atibaia,673
138,Augustinópolis,278
139,Augusto Corrêa,96
140,Auriflama,89
141,Aurora,77
142,Aurora do Pará,29
143,Autazes,444
144,Avaré,370
145,Açailândia,334
146,Açu,163
147,Bacabal,463
148,Bacuri,104
149,Baependi,63
150,Bagé,300
151,Baixa Grande,158
152,Baixo Guandu,69
153,Baião,70
154,Balneário Camboriú,407
155,Balsas,554
156,Bambuí,77
157,Banabuiú,149
158,Bananeiras,125
159,Bandeirantes,165
160,Baraúna,67
161,Barbacena,656
162,Barbalha,450
163,Barcarena,332
164,Barcelos,121
165,Barra,153
166,Barra Bonita,132
167,Barra Mansa,466
168,Barra da Estiva,163
169,Barra de Guabiraba,57
170,Barra de São Francisco,155
171,Barra do Bugres,108
172,Barra do Choça,80
173,Barra do Corda,235
174,Barra do Garças,357
175,Barra do Piraí,251
176,Barra do Turvo,26
177,Barras,221
178,Barreira,209
179,Barreiras,722
180,Barreirinha,199
181,Barreirinhas,200
182,Barreiros,352
183,Barretos,342
184,Barrinha,79
185,Barro,60
186,Barroquinha,82
187,Barueri,1124
188,Barão de Cocais,61
189,Barão de Grajaú,57
190,Bataguassu,98
191,Batalha,214
192,Batatais,207
193,Baturité,454
194,Bauru,966
195,Bayeux,190
196,Bebedouro,414
197,Beberibe,316
198,Bela Cruz,123
199,Bela Vista,100
200,Belford Roxo,729
201,Belo Horizonte,6276
202,Belo Jardim,257
203,Belo Oriente,65
204,Belém,4365
205,Belém do São Francisco,121
206,Benevides,386
207,Benjamin Constant,294
208,Bento Gonçalves,260
209,Bequimão,60
210,Bertioga,167
211,Beruri,88
212,Betim,1024
213,Bezerros,383
214,Biguaçu,173
215,Birigui,381
216,Blumenau,1277
217,Boa Esperança,253
218,Boa Viagem,373
219,Boa Vista,1546
220,Boa Vista do Ramos,215
221,Boca da Mata,64
222,Boca do Acre,279
223,Bocaiúva,121
224,Bodoquena,26
225,Boituva,216
226,Bom Conselho,169
227,Bom Despacho,134
228,Bom Jardim,296
229,Bom Jesus,257
230,Bom Jesus da Lapa,218
231,Bom Jesus de Goiás,166
232,Bom Jesus do Itabapoana,180
233,Bom Sucesso,86
234,Bonfim,22
235,Bonito,422
236,Boqueirão,89
237,Boquim,119
238,Boquira,48
239,Borba,252
240,Botucatu,415
241,Bragança,367
242,Bragança Paulista,588
243,Brasilândia de Minas,89
244,Brasiléia,91
245,Brasnorte,47
246,Brasília,8596
247,Brasília de Minas,112
248,Braço do Norte,183
249,Brejetuba,30
250,Brejinho de Nazaré,51
251,Brejo,88
252,Brejo Santo,551
253,Brejo da Madre de Deus,131
254,Brejões,27
255,Breu Branco,123
256,Breves,223
257,Brotas de Macaúbas,36
258,Brumadinho,151
259,Brumado,274
260,Brusque,549
261,Buerarema,46
262,Bujaru,53
263,Buriti Bravo,58
264,Buriti dos Lopes,139
265,Buriticupu,208
266,Buritis,232
267,Butiá,60
268,Caapiranga,103
269,Caaporã,106
270,Caarapó,115
271,Cabedelo,174
272,Cabo Frio,704
273,Cabo de Santo Agostinho,668
274,Cabreúva,120
275,Cabrobó,314
276,Cachoeira,67
277,Cachoeira Paulista,88
278,Cachoeira do Sul,115
279,Cachoeiras de Macacu,141
280,Cachoeirinha,339
281,Cachoeiro de Itapemirim,600
282,Cacimba de Dentro,47
283,Cacoal,744
284,Caculé,116
285,Caetité,210
286,Caeté,123
287,Caetés,118
288,Cafelândia,94
289,Caicó,241
290,Caieiras,227
291,Cajamar,246
292,Cajati,93
293,Cajazeiras,435
294,Cajuru,69
295,Caldas Novas,679
296,Camacan,152
297,Camamu,141
298,Camapuã,31
299,Camaquã,197
300,Camaragibe,615
301,Camaçari,580
