NO_MUNICIPIO_ESC;Presente;Total_Alunos;regiao;estado;municipio;data;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Casos_per_capita;Mortes_per_capita;Relacao_Presenca
Salvador;7641;10500;Nordeste;BA;Salvador;2021-11-21;2872347.0;238024.0;30;8073;0;0.0828674251404861;0.0028105935668636;0.7277142857142858
Santana de Parnaíba;462;906;Sudeste;SP;Santana de Parnaíba;2021-11-21;139447.0;15924.0;6;392;0;0.1141939231392572;0.0028111038602479;0.5099337748344371
Feira de Santana;1848;2458;Nordeste;BA;Feira de Santana;2021-11-21;614872.0;58850.0;1;1071;0;0.0957109772440442;0.0017418259410088;0.7518307567127747
Itapiranga;67;149;Norte;AM;Itapiranga;2021-11-21;9148.0;3097.0;0;43;0;0.3385439440314823;0.004700480979449;0.44966442953020136
Oeiras;206;259;Nordeste;PI;Oeiras;2021-11-21;37029.0;5111.0;5;80;0;0.1380269518485511;0.0021604688217343;0.7953667953667953
Várzea Grande;610;1082;Nordeste;PI;Várzea Grande;2021-11-21;4391.0;554.0;0;1;0;0.1261671601002049;1.0;0.5637707948243993
Cunha;16;42;Sudeste;SP;Cunha;2021-11-21;21547.0;980.0;0;14;0;0.0454819696477467;0.0006497424235392;0.38095238095238093
Itaguaí;321;529;Sudeste;RJ;Itaguaí;2021-11-21;133019.0;13418.0;0;406;0;0.1008728076440207;0.0030521955510115;0.6068052930056711
Brasília;14282;19840;Centro-Oeste;DF;Brasília;2021-11-21;3015268.0;517109.0;0;10994;0;0.1714968619704782;0.0036461103954938;0.7198588709677419
Redenção;540;985;Norte;PA;Redenção;2021-11-21;84787.0;14758.0;0;246;0;0.1740597025487398;0.0029013881845094;0.5482233502538071
Buriti dos Lopes;57;102;Nordeste;PI;Buriti dos Lopes;2021-11-21;19781.0;1364.0;1;35;0;0.0689550578838279;0.0017693746524442;0.5588235294117647
Belo Horizonte;8365;11826;Sudeste;MG;Belo Horizonte;2021-11-21;2512070.0;291345.0;0;6970;6;0.1159780579362836;0.0027746042108699;0.7073397598511754
Guarapari;400;606;Sudeste;ES;Guarapari;2021-11-21;124859.0;18752.0;11;450;0;0.1501854091415116;0.0036040653857551;0.6600660066006601
Rio de Janeiro;18506;26431;Sudeste;RJ;Rio de Janeiro;2021-11-21;6718903.0;496274.0;653;35133;0;0.0738623552088785;0.0052289785996315;0.7001626877530173
Nova Palma;19;26;Sul;RS;Nova Palma;2021-11-21;6512.0;639.0;0;12;0;0.0981265356265356;0.0018427518427518;0.7307692307692307
Maceió;3749;5070;Nordeste;AL;Maceió;2021-11-21;1018948.0;92728.0;83;2770;1;0.0910036626010355;0.0027184900505226;0.7394477317554241
Aracruz;420;636;Sudeste;ES;Aracruz;2021-11-21;101220.0;18383.0;1;245;0;0.1816143054732266;0.0024204702627939;0.660377358490566
Rio do Sul;245;408;Sul;SC;Rio do Sul;2021-11-21;71061.0;9846.0;0;140;0;0.1385570143960822;0.0019701383318557;0.6004901960784313
Fortaleza;14896;27783;Nordeste;CE;Fortaleza;2021-11-21;2669342.0;258709.0;-2;9846;0;0.0969186413730425;0.0036885494627514;0.5361552028218695
Blumenau;742;1475;Sul;SC;Blumenau;2021-11-21;357199.0;64198.0;15;679;0;0.1797261470496838;0.0019009011783347;0.5030508474576271
Curitiba;6670;9868;Sul;PR;Curitiba;2021-11-21;1933105.0;219392.0;21;7855;2;0.1134920244890991;0.0040634109373262;0.6759221726793676
João Câmara;138;173;Nordeste;RN;João Câmara;2021-11-21;34955.0;3019.0;4;50;0;0.0863681876698612;0.0014304105278214;0.7976878612716763
Oliveira;132;183;Sudeste;MG;Oliveira;2021-11-21;41687.0;6001.0;0;80;0;0.1439537505697219;0.0019190634970134;0.7213114754098361
Aracaju;3167;4110;Nordeste;SE;Aracaju;2021-11-21;657013.0;128122.0;0;2430;0;0.1950067959081479;0.0036985569539719;0.7705596107055961
João Pessoa;4007;5005;Nordeste;PB;João Pessoa;2021-11-21;809015.0;109777.0;71;2962;1;0.1356921688720234;0.0036612423749868;0.8005994005994006
