,estado,municipio,codigo
0,Rondônia,Alta Floresta D'Oeste,1100015
1,Rondônia,Alto Alegre dos Parecis,1100379
2,Rondônia,Alto Paraíso,1100403
3,Rondônia,Alvorada D'Oeste,1100346
4,Rondônia,Ariquemes,1100023
5,Rondônia,Buritis,1100452
6,Rondônia,Cabixi,1100031
7,Rondônia,Cacaulândia,1100601
8,Rondônia,Cacoal,1100049
9,Rondônia,Campo Novo de Rondônia,1100700
10,Rondônia,Candeias do Jamari,1100809
11,Rondônia,Castanheiras,1100908
12,Rondônia,Cerejeiras,1100056
13,Rondônia,Chupinguaia,1100924
14,Rondônia,Colorado do Oeste,1100064
15,Rondônia,Corumbiara,1100072
16,Rondônia,Costa Marques,1100080
17,Rondônia,Cujubim,1100940
18,Rondônia,Espigão D'Oeste,1100098
19,Rondônia,Governador Jorge Teixeira,1101005
20,Rondônia,Guajará-Mirim,1100106
21,Rondônia,Itapuã do Oeste,1101104
22,Rondônia,Jaru,1100114
23,Rondônia,Ji-Paraná,1100122
24,Rondônia,Machadinho D'Oeste,1100130
25,Rondônia,Ministro Andreazza,1101203
26,Rondônia,Mirante da Serra,1101302
27,Rondônia,Monte Negro,1101401
28,Rondônia,Nova Brasilândia D'Oeste,1100148
29,Rondônia,Nova Mamoré,1100338
30,Rondônia,Nova União,1101435
31,Rondônia,Novo Horizonte do Oeste,1100502
32,Rondônia,Ouro Preto do Oeste,1100155
33,Rondônia,Parecis,1101450
34,Rondônia,Pimenta Bueno,1100189
35,Rondônia,Pimenteiras do Oeste,1101468
36,Rondônia,Porto Velho,1100205
37,Rondônia,Presidente Médici,1100254
38,Rondônia,Primavera de Rondônia,1101476
39,Rondônia,Rio Crespo,1100262
40,Rondônia,Rolim de Moura,1100288
41,Rondônia,Santa Luzia D'Oeste,1100296
42,Rondônia,São Felipe D'Oeste,1101484
43,Rondônia,São Francisco do Guaporé,1101492
44,Rondônia,São Miguel do Guaporé,1100320
45,Rondônia,Seringueiras,1101500
46,Rondônia,Teixeirópolis,1101559
47,Rondônia,Theobroma,1101609
