municipio;estado;regiao;Presente;Total_Alunos;populacaoTCU2019;casosAcumulado;obitosAcumulado;casosNovos_Semana;obitosNovos_Semana;Casos_per_capita;Mortes_per_capita;Relacao_Presenca;Relacao_casos_mes;Relacao_obitos_mes;diferenca;codigo
;;Brasil;;;210147125.0;22017276.0;612659;14502;460;0.1047707695263497;0.0029153813072627095;;210147125.0;210147125.0;;
Salvador;Bahia;Nordeste;7641.0;10500.0;2872347.0;238024.0;8073;39;0;0.08286742514048616;0.0028105935668636135;0.7277142857142858;1.3577746699824221e-05;0.0;14.52587432572429;2927408.0
Santana de Parnaíba;São Paulo;Sudeste;462.0;906.0;139447.0;15924.0;392;7;0;0.1141939231392572;0.0028111038602479793;0.5099337748344371;5.019828321871392e-05;0.0;25.9359482679779;3547304.0
Feira de Santana;Bahia;Nordeste;1848.0;2458.0;614872.0;58850.0;1071;43;0;0.09571097724404429;0.0017418259410088605;0.7518307567127747;6.993325440091597e-05;0.0;13.143337224362538;2910800.0
Itapiranga;Amazonas;Norte;37.0;100.0;9148.0;3097.0;43;0;0;0.3385439440314823;0.00470048097944906;0.37;0.0;0.0;38.754487279538;1302009.0
Oeiras;Piauí;Nordeste;206.0;259.0;37029.0;5111.0;80;1;0;0.13802695184855113;0.0021604688217343165;0.7953667953667953;2.7005860271678956e-05;0.0;13.30341592871426;2207009.0
Várzea Grande;Mato Grosso;Centro-Oeste;594.0;1065.0;284971.0;41628.0;1423;144;0;0.1460780219741658;0.004993490565706686;0.5577464788732395;0.0005053145758691235;0.0;23.66407278093456;5108402.0
Cunha;São Paulo;Sudeste;16.0;42.0;21547.0;980.0;14;0;0;0.045481969647746784;0.0006497424235392398;0.38095238095238093;0.0;0.0;36.90476190476191;3513603.0
Itaguaí;Rio de Janeiro;Sudeste;321.0;529.0;133019.0;13418.0;406;54;1;0.10087280764402078;0.0030521955510115096;0.6068052930056711;0.00040595704373059486;7.517723032048054e-06;24.17317121578401;3302007.0
Brasília;Distrito Federal;Centro-Oeste;14282.0;19840.0;3015268.0;517109.0;10994;403;10;0.17149686197047825;0.0036461103954938665;0.7198588709677419;0.0001336531280138283;3.3164547894250197e-06;16.609910123215855;5300108.0
Redenção;Ceará;Nordeste;258.0;482.0;29053.0;5812.0;104;4;0;0.20004818779472;0.0035796647506281623;0.5352697095435685;0.00013767941348569854;0.0;31.60150603422194;2311603.0
Buriti dos Lopes;Piauí;Nordeste;57.0;102.0;19781.0;1364.0;35;0;0;0.06895505788382791;0.0017693746524442646;0.5588235294117647;0.0;0.0;18.74451273046532;2202000.0
Belo Horizonte;Minas Gerais;Sudeste;8365.0;11826.0;2512070.0;291345.0;6970;146;3;0.11597805793628363;0.00277460421086992;0.7073397598511754;5.8119399539025586e-05;1.1942342371032655e-06;17.322187980228456;3106200.0
Guarapari;Espírito Santo;Sudeste;400.0;606.0;124859.0;18752.0;450;19;0;0.15018540914151163;0.003604065385755132;0.6600660066006601;0.00015217164962077223;0.0;20.03091448385345;3202405.0
Rio de Janeiro;Rio de Janeiro;Sudeste;18506.0;26431.0;6718903.0;496274.0;35133;263;71;0.07386235520887859;0.005228978599631518;0.7001626877530173;3.914329467176412e-05;1.0567201223175867e-05;16.713732537505518;3304557.0
Nova Palma;Rio Grande do Sul;Sul;19.0;26.0;6512.0;639.0;12;0;0;0.09812653562653563;0.0018427518427518428;0.7307692307692307;0.0;0.0;19.23076923076923;4313102.0
Maceió;Alagoas;Nordeste;3749.0;5070.0;1018948.0;92728.0;2770;21;1;0.09100366260103558;0.002718490050522696;0.7394477317554241;2.060949135775329e-05;9.814043503692042e-07;16.38249446836209;2704302.0
Aracruz;Espírito Santo;Sudeste;420.0;636.0;101220.0;18383.0;245;9;0;0.18161430547322663;0.0024204702627939143;0.660377358490566;8.891523414344991e-05;0.0;20.3312418242689;3200607.0
Rio do Sul;Santa Catarina;Sul;245.0;408.0;71061.0;9846.0;140;0;0;0.13855701439608223;0.0019701383318557297;0.6004901960784313;0.0;0.0;25.631171322944454;4214805.0
Fortaleza;Ceará;Nordeste;14896.0;27783.0;2669342.0;258709.0;9846;145;15;0.0969186413730425;0.0036885494627514944;0.5361552028218695;5.432050295540999e-05;5.619362374697585e-06;27.05861426506992;2304400.0
Blumenau;Santa Catarina;Sul;742.0;1475.0;357199.0;64198.0;679;4;1;0.1797261470496838;0.0019009011783347658;0.5030508474576271;1.1198239636729106e-05;2.7995599091822764e-06;33.656033115719666;4202404.0
Curitiba;Paraná;Sul;6670.0;9868.0;1933105.0;219392.0;7855;44;17;0.11349202448909915;0.004063410937326218;0.6759221726793676;2.2761308878721023e-05;8.794142066778576e-06;17.335348184988305;4106902.0
João Câmara;Rio Grande do Norte;Nordeste;138.0;173.0;34955.0;3019.0;50;2;0;0.08636818766986125;0.0014304105278214847;0.7976878612716763;5.721642111285939e-05;0.0;8.044833944516958;2405801.0
Oliveira;Minas Gerais;Sudeste;132.0;183.0;41687.0;6001.0;80;1;0;0.14395375056972198;0.0019190634970134574;0.7213114754098361;2.398829371266822e-05;0.0;20.803635067712044;3145604.0
Aracaju;Sergipe;Nordeste;3167.0;4110.0;657013.0;128122.0;2430;6;2;0.19500679590814793;0.0036985569539719912;0.7705596107055961;9.132239392523435e-06;3.044079797507812e-06;13.859502689491883;2800308.0
João Pessoa;Paraíba;Nordeste;4007.0;5005.0;809015.0;109777.0;2962;38;1;0.1356921688720234;0.003661242374986867;0.8005994005994006;4.697069893636088e-05;1.2360710246410759e-06;10.55624638297822;2507507.0
Sorocaba;São Paulo;Sudeste;1646.0;2746.0;679378.0;77451.0;2848;3;0;0.11400280845125983;0.00419206980502754;0.5994173343044428;4.4158038676554145e-06;0.0;21.286247199314133;3552205.0
Camaçari;Bahia;Nordeste;572.0;885.0;299132.0;25394.0;631;13;0;0.08489228835430512;0.0021094366366687617;0.6463276836158192;4.3459074923445166e-05;0.0;17.94935539701242;2905701.0
Porto Velho;Rondônia;Norte;1521.0;2958.0;529544.0;87955.0;2524;17;0;0.16609573519858595;0.00476636502349191;0.5141987829614605;3.2103092472013656e-05;0.0;32.44568531730368;1100205.0
Parnaíba;Piauí;Nordeste;663.0;910.0;153078.0;16564.0;450;10;0;0.10820627392571107;0.00293967781131188;0.7285714285714285;6.532617358470845e-05;0.0;16.377732587697;2207702.0
Colatina;Espírito Santo;Sudeste;568.0;823.0;122499.0;20987.0;362;10;0;0.1713238475416126;0.0029551261642952187;0.6901579586877278;8.163331945566903e-05;0.0;19.3498551007563;3201506.0
Embu das Artes;São Paulo;Sudeste;374.0;780.0;273726.0;10697.0;616;0;0;0.03907922521061207;0.002250425608089842;0.4794871794871795;0.0;0.0;30.74657519744225;3515004.0
Paulista;Pernambuco;Nordeste;1097.0;1564.0;331774.0;11704.0;847;9;6;0.035277025927287854;0.0025529426657905684;0.7014066496163683;2.7126899636499544e-05;1.8084599757666364e-05;13.084081603007;2610707.0
Macapá;Amapá;Norte;1438.0;2277.0;503327.0;61173.0;1497;7;0;0.12153729086657382;0.0029742096092599843;0.6315327184892402;1.3907459762738737e-05;0.0;22.13545905903426;1600303.0
Altamira;Pará;Norte;390.0;600.0;114594.0;15455.0;326;36;0;0.13486744506693196;0.0028448260816447634;0.65;0.000314152573433164;0.0;22.516254876462938;1500602.0
Aparecida de Goiânia;Goiás;Centro-Oeste;1439.0;2538.0;578179.0;97061.0;1779;1369;0;0.1678736169940451;0.0030769017899301082;0.5669818754925138;0.0023677788366578516;0.0;28.936967546760435;5201405.0
Vitória;Espírito Santo;Sudeste;2112.0;2929.0;362097.0;67370.0;1304;76;0;0.18605511782754344;0.003601244970270397;0.7210652099692728;0.00020988851053723175;0.0;15.727527056352928;3205309.0
São Luís;Maranhão;Nordeste;4827.0;6573.0;1101884.0;47346.0;2574;19;0;0.042968225330434054;0.002335999070682576;0.734367868553172;1.724319438343782e-05;0.0;16.86835555062002;2111300.0
Nova Friburgo;Rio de Janeiro;Sudeste;524.0;816.0;190631.0;25200.0;872;1;1;0.1321925604964565;0.004574282252099606;0.6421568627450981;5.245736527637163e-06;5.245736527637163e-06;21.67446524064171;3303401.0
Piracicaba;São Paulo;Sudeste;1072.0;1689.0;404142.0;64436.0;1397;2;0;0.15943900906117156;0.0034567058113237426;0.6346950858496152;4.94875563539548e-06;0.0;17.03134420779898;3538709.0
Apuiarés;Ceará;Nordeste;110.0;149.0;14600.0;1387.0;25;0;0;0.095;0.0017123287671232876;0.738255033557047;0.0;0.0;13.92959868511163;2300903.0
Prado;Bahia;Nordeste;45.0;93.0;28174.0;2313.0;58;0;0;0.08209696883651593;0.0020586356214949953;0.4838709677419355;0.0;0.0;29.73790322580645;2925501.0
Recife;Pernambuco;Nordeste;7741.0;10735.0;1645727.0;160274.0;5598;129;1;0.09738796288813394;0.0034015362207705166;0.7210992081974849;7.83848110895671e-05;6.076341944927683e-07;18.14918107399388;2611606.0
Montes Claros;Minas Gerais;Sudeste;1476.0;2014.0;409341.0;44412.0;986;58;0;0.10849633923794587;0.0024087496732553056;0.7328699106256207;0.00014169115725031208;0.0;15.53513162961312;3143302.0
