codigo,densidade
110001,3.25
110037,3.35
110040,8.08
110034,4.76
110002,24.37
110045,12.14
110003,4.04
110060,3.18
110004,22.51
110070,4.11
110080,3.9
110090,3.42
110005,5.86
110092,2.18
110006,10.95
110007,2.42
110008,3.68
110094,6.53
110009,7.17
110100,1.53
110010,1.86
110110,2.56
110011,17.59
110012,18.7
110013,4.7
110120,12.1
110130,9.18
110140,8.21
110014,17.72
110033,3.04
110143,8.64
110050,10.12
110015,18.29
110145,2.38
110018,5.87
110146,0.36
110020,15.53
110025,10.8
110147,4.72
110026,2.19
110028,37.77
110029,5.42
110148,9.55
110149,1.85
110032,2.87
110150,3.14
110155,9.37
110160,4.75
110170,13.78
110175,3.57
110180,7.07
110030,8.67
120001,8.44
120005,1.49
120010,6.71
120013,3.38
120017,6.89
120020,10.07
120025,11.13
120030,1.24
120032,1.55
120033,3.48
120034,0.89
120035,2.3
120038,10.17
120080,7.1
120039,1.86
120040,46.1
120042,6.15
120043,1.06
120050,1.93
120045,9.92
120060,2.11
120070,3.61
130002,2.71
130006,2.42
130008,5.55
130010,3.63
130014,0.41
130020,0.26
130030,5.21
130040,0.22
130050,5.57
130060,4.89
130063,1.14
130068,7.42
130070,1.56
130080,0.93
130083,1.38
130090,0.52
130100,1.1
130110,6.22
130115,11.49
130120,1.47
130130,1.53
130140,2.35
130150,2.67
130160,1.45
130165,2.2
130170,1.67
130180,2.46
130185,21.81
130190,11.4
130195,0.31
130200,2.16
130210,0.05
130220,0.76
130230,0.21
130240,0.68
130250,13.28
130255,8.08
130260,191.45
130270,1.15
130280,1.08
130290,1.6
130300,1.5
130310,6.66
130320,0.52
130330,0.62
130340,19.2
130350,0.47
130353,1.43
130356,5.74
130360,0.4
130370,1.76
130380,0.42
130390,1.99
130395,1.31
130400,2.45
130406,20.42
130410,0.19
130420,2.52
130423,2.92
130426,1.32
130430,0.58
130440,7.94
140005,0.61
140002,0.45
140010,70.2
140015,1.53
140017,2.39
140020,0.46
140023,0.84
140028,0.83
140030,1.43
140040,1.62
140045,2.17
140047,0.9
140050,1.91
140060,5.23
140070,1.31
150010,97.91
150013,12.1
150020,12.8
150030,4.68
150034,3.86
150040,2.4
150050,0.47
150060,0.72
150070,4.23
150080,2785.26
150085,2.34
150090,42.14
150095,17.3
150100,0.96
150110,6.98
150120,12.62
150125,1.11
150130,95.15
150140,1409.04
150145,4.03
150150,334.02
150157,6.03
150160,27.76
150170,61.04
150172,2.37
150175,5.73
150178,16.75
150180,10.75
150190,28.98
150200,7.66
150195,13.77
150210,44.75
150215,11.79
150220,112.5
150230,18.73
150240,195.16
150250,1.81
150260,19.82
150270,8.21
150275,48.22
150276,0.79
150277,7.57
150280,9.52
150285,10.06
150290,59.56
150293,11.33
150295,11.43
150300,0.61
150304,5.9
150307,16.3
150309,5.76
150310,3.91
150320,49.37
150330,31.4
150340,24.84
150345,12.28
150350,23.6
150360,1.63
150370,6.76
150375,0.15
150380,29.46
150390,6.98
150400,19.42
150405,64.06
150410,26.4
150420,18.47
150430,34.38
150440,35.6
150442,1272.66
150445,3.82
150450,4.08
150460,35.76
150470,9.03
150480,3.2
150490,10.72
150495,7.61
150497,10.66
150500,31.36
150503,0.68
150506,4.93
150510,1.86
150520,8.44
150530,0.68
150540,31.73
150543,2.29
150548,4.03
150549,7.71
150550,5.85
150553,29.94
150555,3.28
150560,17.9
150563,3.92
150565,4.32
150570,9.24
150580,2.44
150590,2.36
150600,2.02
150610,41.86
150611,41.97
150613,22.17
150616,4.42
150618,6.35
150619,7.19
150620,171.27
150630,22.86
150635,75.78
150640,9.42
150650,98.66
150655,14.64
150658,2.08
150660,54.31
150670,6.28
150680,13.31
150690,29.23
150700,58.56
150710,24.28
150715,18.35
150720,19.07
150730,1.53
150740,33.12
150745,7.84
150746,31.33
150747,32.65
150750,10.94
150760,53.13
150770,16.32
150775,4.57
150780,0.81
150790,7.21
150795,24.0
150796,56.78
150797,9.9
150800,12.33
150803,33.07
150805,1.58
150808,15.76
150810,54.48
150812,11.64
150815,4.21
150820,99.59
150830,12.49
150835,4.83
150840,11.84
160010,0.99
160020,0.78
160021,2.83
160023,1.54
160025,3.23
160027,1.63
160030,78.54
160040,1.65
160050,1.21
160015,1.74
160053,4.99
160055,1.03
160060,76.83
160005,0.7
160070,2.58
160080,6.42
170025,1.36
170030,28.6
170035,3.41
170040,1.76
170070,6.94
170100,6.06
170105,7.6
170110,4.13
170130,4.91
170190,2.55
170200,1.65
170210,45.11
170215,6.85
170220,13.62
170230,4.28
170240,1.83
170255,46.62
170270,4.99
170290,64.95
170300,5.96
170305,2.3
170307,4.15
170310,7.9
170320,4.81
170330,3.67
170360,3.43
170370,3.19
170380,45.05
170382,6.46
170384,3.12
170386,3.88
170388,7.6
170389,21.22
170390,3.17
170410,1.49
170510,2.02
170460,2.13
170550,41.98
171670,8.28
170555,23.15
170560,1.64
170600,3.52
170610,3.94
170625,1.75
170650,3.72
170700,6.88
170710,2.94
170720,1.92
170730,1.37
170740,21.82
170755,10.02
170765,2.73
170770,4.45
170820,1.37
170825,4.17
170830,2.84
170900,2.03
170930,11.43
170950,47.19
170980,2.47
171050,2.44
171070,7.93
171090,3.04
171110,2.49
171150,1.77
171180,4.56
171190,1.26
171195,4.74
171200,9.72
171215,3.7
171240,0.65
171245,11.12
171250,2.47
171270,0.28
171280,4.64
171320,6.87
171330,13.02
171360,2.2
171370,2.09
171395,2.99
171420,2.85
171430,9.85
171488,7.55
171500,8.25
171510,1.63
171515,11.65
171525,2.08
171550,5.4
172100,134.81
171570,2.28
171380,8.9
171575,4.49
171610,40.42
171620,0.93
171630,3.52
171650,6.75
171660,2.22
171665,4.53
171700,2.85
171720,2.21
171750,0.76
171780,2.54
171790,1.24
171800,6.25
171820,11.91
171830,29.17
171840,4.78
171845,6.69
171850,1.94
171855,8.98
171865,2.71
171870,3.35
171875,1.02
171880,21.19
171884,0.96
171886,4.48
171888,2.43
171889,0.72
171890,2.69
171900,5.31
172000,9.38
172010,4.81
172015,0.83
172020,30.44
172025,2.17
172030,16.73
172049,1.57
172065,4.29
172080,27.86
172085,1.92
172090,6.84
172093,1.92
172097,1.29
172110,2.9
172120,21.23
172125,2.66
172130,2.98
172208,8.51
172210,9.73
210005,19.37
210010,17.57
210015,28.36
210020,14.86
210030,13.66
210040,11.27
210043,70.58
210047,16.52
210050,1.01
210055,13.86
210060,5.57
210070,26.51
210080,25.86
210083,48.81
210087,19.16
210090,26.05
210095,10.87
210100,27.13
210110,59.71
