IDHM,codigo
0.641,110001
0.702,110002
0.65,110003
0.718,110004
0.692,110005
0.685,110006
0.613,110007
0.611,110008
0.672,110009
0.657,110010
0.689,110011
0.714,110012
0.596,110013
0.643,110014
0.682,110015
0.71,110018
0.736,110020
0.664,110025
0.643,110026
0.7,110028
0.67,110029
0.731,110030
0.646,110032
0.587,110033
0.643,110034
0.592,110037
0.625,110040
0.616,110045
0.634,110050
0.646,110060
0.593,110070
0.649,110080
0.658,110090
0.652,110092
0.612,110094
0.596,110100
0.614,110110
0.638,110120
0.643,110130
0.607,110140
0.587,110143
0.617,110145
0.665,110146
0.641,110147
0.649,110148
0.611,110149
0.598,110150
0.643,110155
0.589,110160
0.609,110170
0.584,110175
0.627,110180
0.604,120001
0.588,120005
0.614,120010
0.589,120013
0.575,120017
0.664,120020
0.653,120025
0.539,120030
0.469,120032
0.625,120033
0.551,120034
0.501,120035
0.622,120038
0.532,120039
0.727,120040
0.567,120042
0.517,120043
0.64,120045
0.603,120050
0.539,120060
0.599,120070
0.576,120080
0.527,130002
0.56,130006
0.594,130008
0.561,130010
0.637,130014
0.45,130020
0.577,130030
0.5,130040
0.574,130050
0.574,130060
0.506,130063
0.565,130068
0.588,130070
0.56,130080
0.569,130083
0.53,130090
0.549,130100
0.557,130110
0.568,130115
0.586,130120
0.563,130130
0.563,130140
0.509,130150
0.53,130160
0.532,130165
0.605,130170
0.481,130180
0.613,130185
0.644,130190
0.477,130195
0.654,130200
0.522,130210
0.522,130220
0.516,130230
0.531,130240
0.614,130250
0.596,130255
0.737,130260
0.582,130270
0.498,130280
0.588,130290
0.586,130300
0.558,130310
0.57,130320
0.554,130330
0.658,130340
0.496,130350
0.647,130353
0.611,130356
0.479,130360
0.49,130370
0.609,130380
0.521,130390
0.577,130395
0.632,130400
0.616,130406
0.502,130410
0.639,130420
0.548,130423
0.527,130426
0.62,130430
0.588,130440
0.484,140002
0.542,140005
0.752,140010
0.626,140015
0.619,140017
0.624,140020
0.639,140023
0.582,140028
0.665,140030
0.594,140040
0.65,140045
0.619,140047
0.655,140050
0.649,140060
0.453,140070
0.628,150010
0.622,150013
0.506,150020
0.489,150030
0.564,150034
0.564,150040
0.642,150050
0.665,150060
0.484,150070
0.718,150080
0.548,150085
0.52,150090
0.519,150095
0.541,150100
0.471,150110
0.578,150120
0.594,150125
0.662,150130
0.746,150140
0.588,150145
0.665,150150
0.589,150157
0.546,150160
0.6,150170
0.613,150172
0.591,150175
0.568,150178
0.503,150180
0.552,150190
0.473,150195
0.546,150200
0.577,150210
0.673,150215
0.655,150220
0.548,150230
0.673,150240
0.453,150250
0.602,150260
0.64,150270
0.566,150275
0.55,150276
0.636,150277
0.502,150280
0.578,150285
0.582,150290
0.615,150293
0.56,150295
0.563,150300
0.583,150304
0.526,150307
0.56,150309
0.509,150310
0.595,150320
0.547,150330
0.572,150340
0.489,150345
0.559,150350
0.64,150360
0.528,150370
0.505,150375
0.622,150380
0.592,150390
0.541,150400
0.599,150405
0.597,150410
0.668,150420
0.57,150430
0.609,150440
0.676,150442
0.582,150445
0.418,150450
0.575,150460
0.547,150470
0.589,150480
0.547,150490
0.502,150495
0.581,150497
0.609,150500
0.673,150503
0.537,150506
0.594,150510
0.507,150520
0.623,150530
0.568,150540
0.624,150543
0.515,150548
0.589,150549
0.645,150550
0.715,150553
0.574,150555
0.581,150560
0.563,150563
0.552,150565
0.562,150570
0.483,150580
0.503,150590
0.523,150600
0.577,150610
0.543,150611
0.672,150613
0.638,150616
0.602,150618
0.548,150619
0.647,150620
0.608,150630
0.627,150635
0.557,150640
0.659,150650
0.546,150655
0.544,150658
0.598,150660
0.602,150670
0.691,150680
0.587,150690
0.632,150700
0.585,150710
0.594,150715
0.532,150720
0.594,150730
0.608,150740
0.595,150745
0.583,150746
0.539,150747
0.55,150750
0.591,150760
0.558,150770
0.59,150775
0.514,150780
0.615,150790
0.588,150795
0.605,150796
0.635,150797
0.586,150800
0.531,150803
0.562,150805
0.659,150808
0.666,150810
0.604,150812
0.589,150815
