estado,PIB
Pará,20734.60
Tocantins,25021.80
Maranhão,13757.94
Piauí,16125.00
Paraíba,16919.84
Alagoas,17667.79
Acre,17722.41
Ceará,17912.17
Sergipe,19441.23
Bahia,19716.21
Rio Grande do Norte,20342.11
Amapá,20688.21
Pernambuco,20702.30
Roraima,23593.84
Amazonas,26101.72
Rondônia,26497.12
Goiás,29732.40
Minas Gerais,30794.04
Mato Grosso,40787.32
Paraná,40788.77
Rio Grande do Sul,42406.09
Santa Catarina,45118.41
Rio de Janeiro,45174.08
São Paulo,51140.82
Distrito Federal,90742.75
Espírito Santo,34177.05
Mato Grosso do Sul,38482.83
