,IDHM,IDHM Educação,IDHM Renda,IDHM Longevidade,municipio,codigo
0,0.641,0.526,0.657,0.763,Alta Floresta D'Oeste,110001
1,0.702,0.6,0.716,0.806,Ariquemes,110002
2,0.65,0.559,0.65,0.757,Cabixi,110003
3,0.718,0.62,0.727,0.821,Cacoal,110004
4,0.692,0.602,0.688,0.799,Cerejeiras,110005
5,0.685,0.584,0.676,0.814,Colorado Do Oeste,110006
6,0.613,0.473,0.63,0.774,Corumbiara,110007
7,0.611,0.493,0.616,0.751,Costa Marques,110008
8,0.672,0.536,0.691,0.819,Espigão D'Oeste,110009
9,0.657,0.519,0.663,0.823,Guajará-Mirim,110010
10,0.689,0.577,0.687,0.825,Jaru,110011
11,0.714,0.617,0.728,0.81,Ji-Paraná,110012
12,0.596,0.446,0.629,0.755,Machadinho D'Oeste,110013
13,0.643,0.524,0.664,0.763,Nova Brasilândia D'Oeste,110014
14,0.682,0.569,0.687,0.812,Ouro Preto Do Oeste,110015
15,0.71,0.613,0.726,0.803,Pimenta Bueno,110018
16,0.736,0.638,0.764,0.819,Porto Velho,110020
17,0.664,0.55,0.671,0.792,Presidente Médici,110025
18,0.643,0.513,0.637,0.813,Rio Crespo,110026
19,0.7,0.598,0.709,0.808,Rolim De Moura,110028
20,0.67,0.564,0.657,0.812,Santa Luzia D'Oeste,110029
21,0.731,0.659,0.734,0.808,Vilhena,110030
22,0.646,0.537,0.644,0.781,São Miguel Do Guaporé,110032
23,0.587,0.424,0.619,0.769,Nova Mamoré,110033
24,0.643,0.534,0.654,0.763,Alvorada D'Oeste,110034
25,0.592,0.443,0.603,0.777,Alto Alegre Dos Parecis,110037
26,0.625,0.457,0.664,0.804,Alto Paraíso,110040
27,0.616,0.479,0.65,0.751,Buritis,110045
28,0.634,0.527,0.606,0.799,Novo Horizonte Do Oeste,110050
29,0.646,0.506,0.664,0.801,Cacaulândia,110060
30,0.593,0.404,0.667,0.772,Campo Novo De Rondônia,110070
31,0.649,0.512,0.652,0.819,Candeias Do Jamari,110080
32,0.658,0.547,0.65,0.803,Castanheiras,110090
33,0.652,0.514,0.659,0.82,Chupinguaia,110092
34,0.612,0.439,0.663,0.789,Cujubim,110094
35,0.596,0.444,0.627,0.762,Governador Jorge Teixeira,110100
36,0.614,0.488,0.633,0.751,Itapuã Do Oeste,110110
37,0.638,0.518,0.647,0.776,Ministro Andreazza,110120
38,0.643,0.494,0.673,0.8,Mirante Da Serra,110130
39,0.607,0.454,0.645,0.762,Monte Negro,110140
40,0.587,0.442,0.608,0.753,Nova União,110143
41,0.617,0.485,0.604,0.8,Parecis,110145
42,0.665,0.545,0.662,0.816,Pimenteiras Do Oeste,110146
43,0.641,0.512,0.645,0.799,Primavera De Rondônia,110147
44,0.649,0.571,0.615,0.78,São Felipe D'Oeste,110148
45,0.611,0.462,0.657,0.751,São Francisco Do Guaporé,110149
46,0.598,0.427,0.644,0.779,Seringueiras,110150
