linkID,venue1,venue2
9,mJ_ucQ2_3hfTsmCcKb-hgw,qXGKYRwCR9SLgLl0g_9o5g
135,y19xFolCozaRA-gGmHwkQA,F6c3D1o9Z4Tl6cDorb3WgA
434,R1GwW4C1gh2Nmue9K0WYVA,Ul6JwluSTm12PVDIqnNaTg
262,zzBa0pQjM1gov00bXjYYXg,3D6Uck9QSdxZKFstf5DGlg
383,U2d-meX4sVq0kiqcrpHt1w,vuDL_d3GYAtbvX9EJQqVog
212,FG8atOE15c8IoQH_hEb9zA,qNRyP8ItRICZOnKS4jf5ig
357,TTnUoYDCQoTfldLs3AuTDg,lDp4MbyQEj4-5kSM-4zRFA
233,bsXRu6wXmn_pRAGToCEPjQ,j54J0Ky4ruVbN_NTJ3daFg
189,e7UArDHjBreJ1r2aC-FHnw,kKwpmN6N2aHyvnle9lBNnA
441,WWVOO8Ha1CUwjFPJ6msihA,_gMGYbHVavRj5Uv8QgyWUw
333,-httBl6DSZiUtDX4SQWtag,cNz2tTTAPmdeAq6HnGeo8w
134,8mx_TpMhpFLdQi_K5aPdOg,YL-ZC82ChlQkkXajNovugg
491,vYHIKgPF_QyGcV8dY1uXVQ,XDFwX_-xr0J-aE90dmttfA
321,SpXBHrRfXJdocVkQa16zxg,1FodVSAxoKqEKYQc3QHgvg
132,KHcv9NDg6kKqgp5bUtyNBg,LE22v1tABBUOoZrLWgaYXw
2,Bk2fENDaxjFLsx2_W3XKAw,l1JDX-o0wCLykuh78R8Kng
228,N9JASBwB9kWtK0_EjTa1nw,S6T5R3BVm2JIV3E2Tvw5nQ
260,BLAtlgsCouJoaaZ-ddeG0Q,pC4MjGg8bV-eIUHRbe9WGQ
85,KxmPP8naiptphRDZNaQnMQ,sapNpiH9xilPqGhThDJZFg
204,3rcfcK2iFt3dSutBKXityQ,Hb717wjzx1Q7cVXQo1-u2w
426,2-jI4n2kVK9ltHS-WdnGUA,2-jI4n2kVK9ltHS-WdnGUA
377,1cGyzWtfOoDiE8V0OR85yA,hHgSUnDB9yIrxUEMSmsdoQ
277,Z5qUIUxv9XAjC1NPy5QUfw,RKVYQ00LvK0_FO6Ll7lvOg
101,guGPP-3ZsXdLNjtZDnR7tw,dMnAXZ3XPMNgAQ9BwXCFBA
12,qC6RM4DhD6ZaYigqEkbd2w,lNVg4jtfTEIAtOkA_0aEPQ
38,XhvrSZr0gvEsoxifBje_VA,rQ4qcvSy2MkMnidf9CweIw
395,mEOVr6mU6RSGqYtLzqf6RQ,OTSQq4ycH4NNhWIHcjnGaw
18,PGCmPHJdeAREQKYbhBMA5w,z4GLHQ2-o0p6Ia4q_4j4HA
147,4Zuyl_6omMkU06e9dJK3DQ,PBmMvDows5HWIqrEVvNfQQ
133,plHKBwA18aWeP-TG8DC96Q,RKVYQ00LvK0_FO6Ll7lvOg
392,HiHUTSxpyKhQqLFti3Xnzw,_XlO-uEB3ZMA19Q8Ljbipw
304,hFuhiLDa9uHjg4fZHjI8NQ,_VHU9KZUHRLp2Hc2JOKlYg
479,ly-slsCrHbIlCAc2dHXk5Q,s2s7K5_x-W6gbCvuhtI6lw
486,gvmhnxxuS6BrPoIuBYd6dw,u4sTiCzVeIHZY8OlaL346Q
241,r-Ey-JnNr2AI_mPJs80Eeg,BLAtlgsCouJoaaZ-ddeG0Q
177,id0K2DhGNocMRMoBcvCsyg,1qYCUtw6_ehv7u_FxiE8IA
53,Fozo0B-y42EhRMomR0K5vQ,7z2x16M7IuG8KPfMsyVrKA
466,MLVnaAgR3FD2O9mBTKDqoQ,93ZfzaU2Y3FDSW4-4EGvoA
419,sPUY_tuCU3lSWBeiZxyJ2g,FuT3Cp-uWLHzMTDi6vnwLQ
452,cAX-srNrvlifjfov_jpQ1w,nfJHNu_AQXptaTQIHjpAoQ
280,uf_tGNDLES2s1eD2pPCwJw,prZHC3I8JUI98n9iJVvDbw
124,QmoEAklpnjNEJKyM9Bj7gQ,ZMrku7LqVSeqPLADtkzJPg
140,ZARPISrzPW6PrMSwexHnxw,cHTQwW-xsBVfuat5IL3dsg
423,Voeq7aGDmCGMjE_SQiHwRA,QYlhQ9ivxXFSD7dE_1cy5A
443,FwA_uXKXQAmLOLzKc71GBw,b6DAp8hLHpSHMi2fGOB7Lw
478,OzG3vfUfLJF6dNLJe1_h4A,yPcAdikNrXEsfbHNBQUjkQ
295,ImD9jhFSAXWlTr8EHCwv9Q,PN4btVUz3l3FNmIeI75vnQ
22,w53w6IvO6EWZyh7VF12oJg,tgzwaYEVlDed3ofFb6P1IQ
176,_d7ySCr1d4k-NmDsdNTqgQ,ZNdV9ytExuxPTXSN8i2xhw
360,dRbmeC5hl211hH-WeMtv-g,8t8pZI5SAlYhd6UEIkAcSg
162,TDdJj53iJ3ph0Zy81R2HnA,j54J0Ky4ruVbN_NTJ3daFg
46,DwMCE7vxQV8isP0WDyA5OA,OvLLFRhZMOC4JemL-Rte8Q
14,8edTRAKWTzd0B_sfb8ekeQ,8dAmtiVtZjiRTmDq9QAW5w
119,BfIcrMq0Me0D7BBSYij7Fg,7l-CCyNnvT86GMR5EtYjog
144,2S58GSduz0wRzX8TVkvUQA,w2tr0PA0b3tg8pId0kjM-A
325,By5t_SapEX5TAxT9P4G24g,xYZefYQ777honVZnlcD3vQ
408,0lpT5sj09vUfDp5zUBwjIw,6hKY8sj-ikAQdzrkrBcvuQ
152,AxQpXcQvCnmCV0dai8I3ew,m59upQj5qUn-termmtxTYQ
365,JDF6Y7EBs8wf6LuydDIoJA,yiX5VCEFhO7MXlmbUPwr8Q
146,ykwGLizkYXRsYy79kDFAKg,_X8Hh_lBn11s2rhEUyhrUg
116,9nTF596jDvBBia2EXXiOOg,qIPQBPurlqbi07MmJ1kXTg
42,rsP1vgYOoCBlMn-b8BEdJQ,A21FJqt8jIE6w0hdzmvnmg
29,hODnmsq1kK6eA0VLbFQOVw,oeW0vIYd3rUnAPgmD4fEFg
410,F8_WdEVmUFTU1pTHBgikIg,CaETzvd1cA5mYaCReGAHjA
165,9yACFTyBd460lJD7YgYZZA,WRvFv4pi1yd3f_MXDftRkA
172,m59upQj5qUn-termmtxTYQ,iuOK9_SBaJ5y0xzu4Fy4IQ
442,KR89_v-jKxf4_l8h8k4jyQ,3H1I31BQeHO017Sg92Cbow
138,HjJp2tI4Xzs7MKyL31E0DA,bhVReN50h-lLfgIWA5Ovgg
154,JLbgvGM4FXh9zNP4O5ZWjQ,Yf74t_bR1mhRXY03IU6OhA
307,6Uv15dNmIxtPMB_1O2O1vA,Zu5aNXI0y0tFpB9so7BCHw
74,TQSBLQ7pIEqlP7NMjHZzBw,GFFNWhFNOyxtb3cq0I0sHQ
68,ccdcyzc1oSucd-qRlnYR0w,eVyEkAUx0BIFf_c1MVeUhw
273,Ta5co4lXtJqSgtj8RYFkIg,Oy228reHc1KcnY7qiyW9Rg
285,5gKqf35vz7fcijylrL90Og,G-IMm6jmNHtvRJO7VRjxuA
359,X-b4-QvZLENnf3yFwhpSXQ,DiSARzaWBeNyB4oU047TcA
37,Mv7N0bU56dhtoDP-m2JOow,qC6RM4DhD6ZaYigqEkbd2w
41,lKom12WnYEjH5FFemK3M1Q,8KJSfDRhAZjAs_rMDqem7w
103,Z3kIW43mXc1h1o6AxBhvZQ,ivugOYd-QcXVEfnm1OyqZA
156,UV2ZTN0X7JhW2A2jENsxrg,1A_qcD28xoNu5fEnh45YRw
229,LLTM6IdUJySJDjCwPoTVcA,rBko32y5vK13SD_sW3AG_g
438,Perap0eAyCbUx4r4rQTSnA,tmCLmE3yfILnCC1EwhJ8gA
7,UQRPRJTtGJiDLtYE-3A-Yg,GDXftPS1_fTJUtZkaEUDhA
77,aDHD7nASfqiQBB6YXy2aGA,oS96aJIHFWcFAlGHKKXjaw
211,LrnStcyN8cXs0RlyiVFTiQ,KMNDr5f2UwjxJbTHnidZ6w
453,yOTpEAqnsKYcnD4SlpFj3w,kJZbI8Va6Lvr7JRmf6u2FA
79,dd88S7tQtZeDce61KqcVyA,RKVYQ00LvK0_FO6Ll7lvOg
283,5JzXF2Uz3P1_Fo9xs83HuA,OPcGFLP_mRt9yvgP3ALXOQ
91,8MSzI-4KJHpGBLiILkrtVg,G32N8Tr2LyvHl4FnUTt5pg
