linkID,link
9,1
135,1
434,1
262,1
383,0
212,1
357,0
233,1
189,0
441,0
333,1
134,1
491,0
321,0
132,0
2,1
228,0
260,0
85,0
204,0
426,1
377,1
277,1
101,1
12,1
38,0
395,0
18,1
147,0
133,1
392,1
304,1
479,0
486,1
241,0
177,1
53,1
466,0
419,0
452,1
280,0
124,0
140,1
423,1
443,0
478,0
295,0
22,0
176,0
360,1
162,0
46,0
14,1
119,1
144,1
325,0
408,0
152,0
365,0
146,0
116,1
42,0
29,1
410,0
165,0
172,1
442,1
138,0
154,1
307,0
74,0
68,0
273,0
285,0
359,1
37,1
41,1
103,0
156,0
229,1
438,1
7,0
77,1
211,1
453,0
79,1
283,1
91,0
186,1
117,0
125,0
16,0
279,0
373,1
13,1
267,0
447,1
196,0
15,0
431,1
465,0
255,0
323,0
11,1
81,0
231,1
332,0
3,0
45,0
429,0
409,0
203,1
185,0
20,1
371,1
396,0
153,1
483,0
206,0
316,1
448,1
398,1
92,1
463,0
390,0
86,1
352,1
310,1
122,0
248,0
271,0
87,1
219,0
314,1
417,0
163,1
150,0
420,0
23,1
151,1
265,1
293,1
350,1
269,1
252,1
291,0
412,0
149,0
474,1
96,0
312,0
105,0
180,1
308,0
26,0
136,0
311,0
64,1
128,1
329,1
88,0
35,0
388,1
430,0
195,0
379,1
181,0
223,1
490,1
155,0
422,0
303,1
462,0
391,0
82,0
58,1
468,0
183,1
492,1
389,0
374,1
306,0
148,0
208,1
461,0
427,0
89,0
247,0
224,0
84,0
95,1
319,1
59,1
236,1
102,1
432,0
120,0
480,1
201,1
344,0
482,0
28,0
351,0
34,1
455,0
126,1
226,1
51,0
338,0
454,1
75,1
234,1
399,0
289,0
418,0
230,1
191,0
335,1
94,0
475,1
284,0
459,0
161,0
451,0
263,1
298,1
232,0
494,0
320,0
40,0
421,0
499,0
317,0
405,0
69,1
370,0
218,1
382,1
425,1
449,0
477,1
437,0
386,1
129,0
270,0
198,0
313,0
73,0
30,0
376,0
4,0
309,1
114,0
481,0
47,0
297,1
300,0
238,1
52,0
433,0
341,0
361,0
168,0
355,1
60,0
353,0
220,0
17,0
488,1
90,0
57,1
98,1
62,0
239,0
39,0
166,0
275,0
118,0
384,0
249,0
182,1
178,0
97,1
143,1
170,0
242,0
473,0
190,0
50,1
413,0
331,1
278,0
227,1
131,0
393,0
258,0
436,0
489,1
158,0
127,0
290,1
173,0
24,1
305,1
25,0
343,0
334,0
6,0
378,1
487,0
259,1
460,1
327,1
243,0
336,0
387,0
363,0
253,0
121,1
1,0
467,0
202,0
145,1
397,1
251,1
188,1
70,1
324,0
315,1
250,0
194,0
66,0
67,0
496,1
266,0
264,0
282,1
0,1
472,0
216,0
139,1
476,0
493,1
354,1
444,1
362,1
65,1
174,0
215,0
411,0
356,0
222,1
193,0
141,0
123,1
458,1
221,0
292,1
33,0
440,1
406,0
27,1
268,1
369,0
164,1
10,0
19,1
294,0
159,1
450,0
403,1
179,0
281,1
339,1
400,1
167,0
209,0
244,1
157,0
137,0
254,0
404,0
175,1
366,1
367,1
484,0
439,1
61,1
318,1
83,0
36,0
415,0
93,1
347,0
192,0
256,1
108,0
349,1
112,1
240,0
76,1
54,0
301,0
106,1
328,0
245,0
142,0
495,0
31,0
497,0
184,1
445,0
485,1
200,1
380,0
214,1
296,0
498,1
210,0
235,1
302,0
63,1
274,0
424,1
385,0
107,1
113,0
407,0
276,1
381,0
435,1
109,0
416,1
287,0
130,0
330,1
326,0
364,0
322,0
21,1
100,1
375,0
457,0
414,1
213,0
43,1
32,0
456,0
197,0
115,1
207,1
80,0
446,1
286,0
48,1
237,0
358,0
257,1
340,1
199,0
217,0
464,0
469,1
205,1
5,0
78,1
394,1
72,1
470,1
401,1
169,1
428,1
345,0
342,0
372,1
56,0
55,0
104,1
110,0
49,0
471,1
171,0
337,0
346,1
402,1
246,1
111,1
160,0
71,0
99,1
44,0
272,1
8,0
299,0
261,0
225,1
288,0
348,0
187,0
368,0
