CategoryId,names
0,Town Car Service
1,Restaurants
2,Wedding Planning
3,Professional Services
4,Comic Books
5,Venues & Event Spaces
6,Computers
7,Axe Throwing
8,Cycling Classes
9,Creperies
10,Martial Arts
11,Vinyl Records
12,Education
13,Macarons
14,Grocery
15,DJs
16,Cryotherapy
17,Comedy Clubs
18,Horseback Riding
19,Physical Therapy
20,Appliances & Repair
21,Personal Injury Law
22,Septic Services
23,Men's Clothing
24,Automotive
25,Funeral Services & Cemeteries
26,Travel Services
27,Gymnastics
28,Pakistani
29,Bike Repair/Maintenance
30,Brasseries
31,University Housing
32,Hotels & Travel
33,Festivals
34,Occupational Therapy
35,Auction Houses
36,Swimming Lessons/Schools
37,Marketing
38,Toy Stores
39,Dumpster Rental
40,Street Vendors
41,Historical Tours
42,Assisted Living Facilities
43,Gas Stations
44,Waterproofing
45,Immigration Law
46,Wraps
47,Bartending Schools
48,Caricatures
49,Modern European
50,Doulas
51,Whiskey Bars
52,Blow Dry/Out Services
53,Electricians
54,Windshield Installation & Repair
55,Security Services
56,Sleep Specialists
57,Crane Services
58,Nightlife
59,Tanning
60,Active Life
61,Payroll Services
62,Home Cleaning
63,Costumes
64,Latin American
65,Musical Instruments & Teachers
66,Tattoo Removal
67,Halal
68,Orthotics
69,Bed & Breakfast
70,Home Window Tinting
71,Wine Tours
72,Herbs & Spices
73,Trailer Repair
74,Financial Services
75,Cremation Services
76,Newspapers & Magazines
77,Wigs
78,Snow Removal
79,Turkish
80,Architects
81,Vocational & Technical School
82,Pizza
83,Seafood
84,Adult
85,Interior Design
86,Tax Services
87,Health Markets
88,Maternity Wear
89,Landmarks & Historical Buildings
90,Gun/Rifle Ranges
91,Wildlife Control
92,Guest Houses
93,Skate Shops
94,Car Dealers
95,Bistros
96,Art Museums
97,Kitchen & Bath
98,Art Classes
99,Filipino
100,Pubs
101,Web Design
102,Yoga
103,Fire Protection Services
104,Barre Classes
105,Cooking Schools
106,Do-It-Yourself Food
107,Shoe Stores
108,Internet Service Providers
109,Pet Groomers
110,Speakeasies
111,Customized Merchandise
112,Battery Stores
113,Shared Office Spaces
114,Coffeeshops
115,Imported Food
116,Gluten-Free
117,Chicken Shop
118,Pilates
119,Eyelash Service
120,Climbing
121,New Mexican Cuisine
122,Home Inspectors
123,Jewelry Repair
124,Lounges
125,Private Tutors
126,Iberian
127,Brewpubs
128,Buffets
129,Bird Shops
130,Coffee Roasteries
131,Massage Schools
132,Pet Cremation Services
133,Event Planning & Services
134,Bridal
135,Workers Compensation Law
136,Water Delivery
137,Chiropractors
138,Cosmetology Schools
139,Leather Goods
140,Irish
141,Children's Clothing
142,Pet Training
143,Cultural Center
144,Tapas/Small Plates
145,Piano Services
146,Farm Equipment Repair
147,Self-defense Classes
148,Contractors
149,Alternative Medicine
150,Personal Chefs
151,Pretzels
152,Car Buyers
153,Basque
154,Fruits & Veggies
155,Health Coach
156,Mailbox Centers
157,Casinos
158,Middle Eastern
159,Laundry Services
160,Insulation Installation
161,Heating & Air Conditioning/HVAC
162,Breakfast & Brunch
163,Brazilian
164,Adult Education
165,Audiologist
166,Furniture Rental
167,Kickboxing
168,General Litigation
169,Walk-in Clinics
170,Auto Parts & Supplies
171,Paint & Sip
172,Test Preparation
173,Coffee & Tea
174,Outdoor Gear
175,Laser Eye Surgery/Lasik
176,Pet Services
177,Cardio Classes
178,Car Window Tinting
179,Auto Upholstery
180,Threading Services
181,Dental Hygienists
182,Pressure Washers
183,Observatories
184,Music Venues
185,Family Practice
186,Vape Shops
187,Pest Control
188,Gastropubs
189,Food Delivery Services
190,Summer Camps
191,Kosher
192,Community Gardens
193,Arcades
194,Pan Asian
195,Print Media
196,Tree Services
197,Psychiatrists
198,Valet Services
199,Police Departments
200,Escape Games
201,Breweries
202,Olive Oil
203,Foundation Repair
204,Bubble Tea
205,Office Cleaning
206,Emergency Pet Hospital
207,Fur Clothing
208,Cocktail Bars
209,Midwives
210,Train Stations
211,Boat Repair
212,Legal Services
213,Fashion
214,Periodontists
215,Bike Sharing
216,Waffles
217,Hawaiian
218,Department Stores
219,Employment Agencies
220,Art Supplies
221,Argentine
222,Empanadas
223,Souvenir Shops
224,Venezuelan
225,Educational Services
226,Colombian
227,Glass Blowing
228,Mass Media
229,Translation Services
230,Financial Advising
231,Christmas Trees
232,Reiki
233,Auto Loan Providers
234,Accountants
235,Internet Cafes
236,Cuban
237,Dry Cleaning & Laundry
238,Furniture Stores
239,Home Staging
240,Boot Camps
241,Candle Stores
242,Peruvian
243,Hair Stylists
244,Nurse Practitioner
245,Event Photography
246,Appliances
247,Health & Medical
248,Burgers
249,Awnings
250,Fences & Gates
251,Cosmetics & Beauty Supply
252,Watch Repair
253,Video Game Stores
254,Pool & Hot Tub Service
255,Bespoke Clothing
256,TV Mounting
257,Vocal Coach
258,Apartments
259,Hearing Aid Providers
260,Elementary Schools
261,Fast Food
262,Specialty Food
263,Home Decor
264,Russian
265,Himalayan/Nepalese
266,Lebanese
267,Florists
268,Izakaya
269,Bus Tours
270,General Dentistry
271,Clothing Rental
272,Criminal Defense Law
273,Hockey Equipment
274,Sugaring
275,Bars
276,Roof Inspectors
277,Vehicle Wraps
278,Child Care & Day Care
279,Decks & Railing
280,Beauty & Spas
281,Bike tours
282,Skin Care
283,Truck Rental
284,Amusement Parks
285,Home & Garden
286,Tea Rooms
287,Delis
288,DUI Law
289,Sandwiches
290,Diagnostic Imaging
291,Shades & Blinds
292,Acupuncture
293,Women's Clothing
294,Discount Store
295,Sports Clubs
296,Farmers Market
297,Tabletop Games
298,Laotian
299,Saunas
300,Placenta Encapsulations
301,Clock Repair
302,Meditation Centers
303,Used Bookstore
304,WillsTrustsProbates
305,Prenatal/Perinatal Care
306,Chicken Wings
307,Flowers & Gifts
308,Roofing
309,Professional Sports Teams
310,Hindu Temples
311,Life Insurance
312,Estate Liquidation
313,Airports
314,Naturopathic/Holistic
315,Karaoke
316,Polish
317,BooksMagsMusicVideo
318,Middle Schools & High Schools
319,Fondue
320,Cigar Bars
321,Bangladeshi
322,Auto Glass Services
323,Excavation Services
324,Nail Technicians
325,Pathologists
326,Indoor Playcentre
327,Shopping
328,Radio Stations
329,Moroccan
330,Smokehouse
331,Soccer
332,Pharmacy
333,Dive Bars
334,Gutter Services
335,Window Washing
336,Cantonese
337,Keys & Locksmiths
338,Day Spas
339,Snorkeling
340,Interval Training Gyms
341,Sports Bars
342,Divorce & Family Law
343,Nutritionists
344,Food Trucks
345,Boating
346,Food Tours
347,Baseball Fields
348,Acai Bowls
349,Kombucha
350,Mortgage Brokers
351,Fertility
352,Hats
353,Business Consulting
354,Cajun/Creole
355,Air Duct Cleaning
356,Bar Crawl
357,Tennis
358,Comfort Food
359,Infectious Disease Specialists
360,Dinner Theater
361,Rock Climbing
362,Cafes
363,Performing Arts
364,Museums
365,Persian/Iranian
366,Wine Bars
367,Registration Services
368,Walking Tours
369,Carpet Cleaning
370,Thai
371,Career Counseling
372,Life Coach
373,Plus Size Fashion
374,Dry Cleaning
375,Damage Restoration
376,Taiwanese
377,Playgrounds
