1545.5175.7 <|> 17578.8
67.7 <|> 6773.39
-132.4 <|> -13246.6
-157.2 <|> -15727.9
-4.7 <|> -470.235
91.5 <|> 9154.57
62.8 <|> 6283.14
4.1 <|> 410.205
9.8 <|> 980.49
25 <|> 2501.25
-80.7 <|> -8074.03
-164.8 <|> -16488.2
14.8 <|> 1480.74
254.9 <|> 25502.7
153.8 <|> 15387.7
-191.7 <|> -19179.6
-294.1 <|> -29424.7
19.4 <|> 1940.97
335 <|> 33516.8
160.9 <|> 16098
-283.1 <|> -28324.2
-287 <|> -28714.3
154.7 <|> 15477.7
329.4 <|> 32956.5
16.3 <|> 1630.82
-281.5 <|> -28164.1
-149.8 <|> -14987.5
177.7 <|> 17778.9
169.1 <|> 16918.5
-89.4 <|> -8944.47
-84.1 <|> -8414.2
69.3 <|> 6933.46
-26.5 <|> -2651.32
-106.4 <|> -10645.3
98.8 <|> 9884.94
145.1 <|> 14517.3
-124.6 <|> -12466.2
-146.8 <|> -14687.3
128 <|> 12806.4
116.3 <|> 11635.8
-134.6 <|> -13466.7
-80.7 <|> -8074.03
153.6 <|> 15367.7
65.6 <|> 6563.28
-169 <|> -16908.5
-83.4 <|> -8344.17
152.4 <|> 15247.6
109.2 <|> 10925.5
-97.9 <|> -9794.9
-107.8 <|> -10785.4
37.7 <|> 3771.89
87.6 <|> 8764.38
4 <|> 400.2
-94.8 <|> -9484.74
-47.3 <|> -4732.36
132.3 <|> 13236.6
112.5 <|> 11255.6
-141.8 <|> -14187.1
-162.2 <|> -16228.1
97.4 <|> 9744.87
140.1 <|> 14017
-59.8 <|> -5982.99
-70.7 <|> -7073.53
87.9 <|> 8794.4
52.8 <|> 5282.64
-132.4 <|> -13246.6
-134.2 <|> -13426.7
80.4 <|> 8044.02
229 <|> 22911.5
89.9 <|> 8994.5
-213.8 <|> -21390.7
-262.4 <|> -26253.1
79.6 <|> 7963.98
307.3 <|> 30745.4
57.9 <|> 5792.89
-225.4 <|> -22551.3
-101.3 <|> -10135.1
125.7 <|> 12576.3
71 <|> 7103.55
-83.6 <|> -8364.18
-57.1 <|> -5712.85
69.3 <|> 6933.46
98 <|> 9804.9
-18.2 <|> -1820.91
-139 <|> -13906.9
-71.2 <|> -7123.56
106.5 <|> 10655.3
138.4 <|> 13846.9
-1.6 <|> -160.08
-131.5 <|> -13156.6
-104.1 <|> -10415.2
49.9 <|> 4992.49
139.2 <|> 13927
56.9 <|> 5692.84
-87.8 <|> -8784.39
-116.3 <|> -11635.8
0.6 <|> 60.03
77.4 <|> 7743.87
38.7 <|> 3871.94
30.6 <|> 3061.53
8.1 <|> 810.405
-110.2 <|> -11025.5
-80.7 <|> -8074.03
109.6 <|> 10965.5
94.3 <|> 9434.72
-90.2 <|> -9024.51
-68.9 <|> -6893.45
114.9 <|> 11495.7
110.5 <|> 11055.5
-123 <|> -12306.1
-234.1 <|> -23421.7
7.4 <|> 740.37
297.1 <|> 29724.9
201.3 <|> 20140.1
-173.7 <|> -17378.7
-324.6 <|> -32476.2
-69.3 <|> -6933.46
244.5 <|> 24462.2
236.1 <|> 23621.8
-39.4 <|> -3941.97
-222.1 <|> -22221.1
-112.9 <|> -11295.6
108.4 <|> 10845.4
131.6 <|> 13166.6
-38.9 <|> -3891.94
-89.5 <|> -8954.48
46.8 <|> 4682.34
87.6 <|> 8764.38
-42 <|> -4202.1
-116.1 <|> -11615.8
-48.2 <|> -4822.41
65.7 <|> 6573.28
157.7 <|> 15777.9
114.2 <|> 11425.7
-137.1 <|> -13716.9
-309 <|> -30915.5
-65.3 <|> -6533.26
333 <|> 33316.7
298.7 <|> 29884.9
-154.9 <|> -15497.7
-366.9 <|> -36708.3
-52.4 <|> -5242.62
272.7 <|> 27283.6
144.5 <|> 14457.2
-181.2 <|> -18129.1
-203.9 <|> -20400.2
125.3 <|> 12536.3
341.5 <|> 34167.1
38.1 <|> 3811.91
-421.7 <|> -42191.1
-298.6 <|> -29874.9
235.1 <|> 23521.8
371.8 <|> 37198.6
87.1 <|> 8714.35
-108.2 <|> -10825.4
-174.8 <|> -17488.7
-200.3 <|> -20040
-35.6 <|> -3561.78
194.8 <|> 19489.7
201.1 <|> 20120.1
56.1 <|> 5612.81
-96.7 <|> -9674.83
-220.1 <|> -22021
-104.4 <|> -10445.2
186.8 <|> 18689.3
168.4 <|> 16848.4
-100.1 <|> -10015
-98 <|> -9804.9
57.2 <|> 5722.86
-20.5 <|> -2051.03
-65.9 <|> -6593.3
